TID,AR
TID_ACHIEVEMENT_VISITORS_DESCRIPTION,خدمة <NUMBER> من الزوار في بلدتك
TID_EXPANSION_TITLE_TRAIN_AREA,توسعة بلدتك
TID_FLOATER_BUILDING_MAX_RANK,<PARAM> في أقصى مستوى لها!
TID_FLOATER_EXPANSION_CONNECTION_TRAIN_AREA,يجب ربط الأرض بالبلدة
TID_FLOATER_MINE_FULL,اجمع المعدن الخام لمتابعة التعدين
TID_FLOATER_NEIGHBORHOOD_EVENT_BOARD_UNLOCKS,يمكنك المشاركة في أحداث الحي من المستوى <LEVEL> وما بعده
TID_FLOATER_TRAIN_COMING_SOON,ستصبح البلدة متاحة في المستوى <LEVEL>
TID_FLOATER_VISIT_TRAIN_UNREPAIRED,يجب إصلاح هذا القطار من قبل مالكه
TID_KICK_PASSENGER_FROM_SERVICE_BUILDING_TOOLTIP_DESCRIPTION,مغادرة البلدة. سيتم التقاط الزائر بالقطار التالي.
TID_NOTIFICATION_NPC_TRAIN_ARRIVES,وصل القطار السريع!
TID_NOTIFICATIONS_SETTINGS_HEADLINE_TOWN,إشعارات البلدة:
TID_NOTIFICATIONS_SETTINGS_NPC_TRAIN_ARRIVES,إشعارات القطار السريع
TID_PASSENGER_CLETUS,محلي
TID_PASSENGER_FRENCH_LADY,السيدة
TID_PASSENGER_GO_TO_SERVICE_BUILDING,<PARAM>، أنا في الطريق!
TID_PASSENGER_GO_TO_TRAIN,في الطريق إلى المنزل الآن. المعذرة لأن أصدقاءك لم يمكنهم المساعدة.
TID_PASSENGER_GRANDPA,المعلم الكبير
TID_PASSENGER_GREETING1,مرحبا! تعجبني بلدتك حقا. أيمكنك أن تريني الجوار؟
TID_PASSENGER_GREETING2,مرحبا! تبدو بلدتك جميلة! أيمكنك أن تريني الجوار؟
TID_PASSENGER_GREETING3,مرحبا! أتساءل عن جودة الخدمة في بلدتك؟ أيمكنك مساعدتي في إجراء بعض المهام؟
TID_PASSENGER_GREETING4,مرحبا! لقد سمعت كلاما جميلا عن بلدتك.
TID_PASSENGER_GREETING5,مرحبا! أود تذوق الحلوى المحلية. أيمكنك أن تريني الجوار؟
TID_PASSENGER_LEYLA,راقصة
TID_PASSENGER_MECHANIC,ميكانيكي
TID_PASSENGER_ON_TRAIN_CROSSING,مهلا! يجب أن أعبر المسارات أولا!
TID_PASSENGER_PICK_UP_ARRIVED_TO_MY_FARM,لقد وصلنا!
TID_PASSENGER_PICK_UP_TO_MY_FARM,شكرا! سآتي للزيارة!
TID_PASSENGER_REWARD_GREETING1,إليك هدية لأنك كنت مضيافا كريما.
TID_PASSENGER_REWARD_GREETING2,لقد تمتعت بكل الخدمات، إليك هدية.
TID_PASSENGER_REWARD_GREETING3,شكرا على كل الخدمات العظيمة! إليك شيء إضافي.
TID_PASSENGER_REWARD_GREETING4,شكرا جزيلا لك على كرم ضيافتك! إليك شيء صغير.
TID_PASSENGER_REWARD_GREETING5,هذه أفضل بلدة على الإطلاق! إليك هدية صغيرة لك.
TID_PASSENGER_SALESMAN,بائع
TID_PASSENGER_SEND_AWAY_WARNING_ALREADY_VISITED,أأنت واثق؟ لقد قمت بزيارة أحد جيرانك بالفعل وسأغادر بالقطار السريع.
TID_PASSENGER_SEND_AWAY_WARNING_NOT_IN_NEIGHBORHOOD,أأنت واثق؟ سأغادر القطار السريع.
TID_PASSENGER_SEND_AWAY_WARNING_PICKUP_BY_NEIGHBOR,أأنت واثق؟ سأذهب إلى الرصيف ليوصلني جيرانك أو القطار السريع.
TID_PASSENGER_SERVICE_BUILDING_FULL,يبدو أن <BUILDING> ممتلئ! ربما يمكنك إضافة المزيد من المواضع بالترقية؟
TID_PASSENGER_STRONGMAN,سترونغمان
TID_PASSENGER_TEACHER,مدرس
TID_PASSENGER_WAITING_TRAIN,شكرا على كل شيء! أنتظر القطار فحسب.
TID_PASSENGER_WALKING_TO_NEIGHBORHOOD_PICKUP,ربما سيوصلني أصدقاؤك في الحي؟
TID_PASSENGER_WALKING_TO_TRAIN,شكرا على كل الخدمات! آمل أن نلتقي ثانية قريبا!
TID_PERSONAL_TRAIN,القطار الشخصي
TID_PERSONAL_TRAIN_CAPACITY,سعة القطار الشخصي: <CAPACITY>
TID_PERSONAL_TRAIN_COMING_SOON,سيصبح القطار الشخصي متاحا مع مستوى سمعة <LEVEL>
TID_PERSONAL_TRAIN_INFO,قم بزيارة أصدقائك في الحي لالتقاط الزوار من الأرصفة. يمكن لكل زائر زيارة بلدتين قبل الذهاب إلى المنزل بالقطار السريع.
TID_PERSONAL_TRAIN_IS_ON_COOLDOWN,القطار في الصيانة
TID_PERSONAL_TRAIN_NEIGHBORHOOD_TRAIN_FRIENDS,أصدقاء الحي الذين لديهم زوار لالتقاطهم:
TID_PERSONAL_TRAIN_TITLE,القطار الشخصي (المستوى <RANK>)
TID_PERSONAL_TRAIN_TOOLTIP,سعة القطار الشخصي الحالية <CAPACITY> من الزوار ومدة صيانة <TIME>.
TID_PERSONAL_TRAIN_UPGRADE,ترقية
TID_PERSONAL_TRAIN_UPGRADE_DESCRIPTION_CAPACITY,زيادة السعة إلى <CAPACITY>
TID_PERSONAL_TRAIN_UPGRADE_DESCRIPTION_COOLDOWN_INTERVAL,تقليل مدة الصيانة إلى <TIME>
TID_PERSONAL_TRAIN_UPGRADE_REPUTATION_REQUIRED_TEXT,يلزم مستوى سمعة <REPUTATION LEVEL> كحد أدنى للترقية.
TID_PERSONAL_TRAIN_UPGRADE_TITLE,ترقية القطار الشخصي
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_CAPACITY_TOOLTIP,يمكن للقطار الشخصي حاليا توصيل <AMOUNT> من أصدقاء حيك
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_TIME_TOOLTIP,هناك صيانة حاليا للقطار الشخصي مدتها <AMOUNT>.
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_TITLE,ترقية القطار الشخصي
TID_PERSONAL_TRAIN_UPGRADE_TREE_HUD_UPGRADE_TEXT,اختر ترقية سعة الزوار أو تقليل مدة الصيانة:
TID_REPAIR_PERSONAL_TRAIN_TEXT,أصلح القطار الشخصي للسفر إلى بلدات حيك لالتقاط الزوار المسافرين.
TID_REPAIR_PERSONAL_TRAIN_TITLE,إصلاح القطار الشخصي؟
TID_REPAIR_PERSONAL_TRAIN_YES,بدء الإصلاح
TID_REPAIR_TRAIN_TEXT,أصلح الرصيف وسافر إلى بلدتك لإعادة بنائها. هناك مغامرات جديدة في الانتظار!
TID_REPAIR_TRAIN_TITLE,إصلاح الرصيف؟
TID_REPAIR_TRAIN_YES,بدء الإصلاح
TID_REPUTATION_HEART_TOOLTIP,قم بخدمة الزوار لاكتساب السمعة.
TID_REPUTATION_LEVEL_UP_TEXT,يمكنك الآن ترقية كل مباني البلدة إلى المستوى <LEVEL_NUMBER>!
TID_REPUTATION_LEVEL_UP_TITLE,تهانينا!
TID_REPUTATION_UNLOCK_TOOLTIP,فتح في مستوى سمعة <LEVEL>
TID_SEND_TO_NEIGHBORHOOD_PLATFORM_FOR_PICKUP_TOOLTIP_DESCRIPTION,إرسال <PASSENGER> ليتم توصيلهم من طرف أصدقاء الحي.
TID_SEND_TO_SERVICE_BUILDING_TOOLTIP_DESCRIPTION,إرسال <PASSENGER> إلى <BUILDING>.\n\nالشاغرة: <COUNT>
TID_SEND_TO_TRAIN_TOOLTIP_DESCRIPTION,إرسال <PASSENGER> إلى <BUILDING>.
TID_SERVICE_BUILDING_NOT_YET_CONSTRUCTED,لم تبن <BUILDING> بعد.
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_COINS,ترقية المبنى لتكوين <BONUS>% إضافية من النّقود
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_EXP_AND_REP,ترقية المبنى لتلقي <BONUS>% إضافية من نقاط الخبرة والسمعة
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_SLOTS,ترقية المبنى لامتلاك <BONUS> إضافية من مواضع الزوار
TID_SERVICE_BUILDING_UPGRADE_DESCRIPTION_TIME,ترقية المبنى لزيادة سرعة الخدمات بمقدار <BONUS>%
TID_SERVICE_BUILDING_UPGRADE_REPUTATION_REQUIRED_TEXT,يلزم مستوى سمعة <REPUTATION LEVEL> كحد أدنى للترقية.
TID_SERVICE_BUILDING_UPGRADE_TITLE,ترقية <BUILDING>
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_CASH_TOOLTIP,مبنى <BUILDING> يمنح حاليا <AMOUNT>% عملات إضافية من الزوار.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_EXP_REP_TOOLTIP,مبنى <BUILDING> يمنح حاليا <AMOUNT>% خبرة وسمعة إضافية من الزوار.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_SLOT_TOOLTIP,مبنى <BUILDING> به حاليا <AMOUNT> من مواضع الزوار.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_TIME_TOOLTIP,مبنى <BUILDING> به حاليا <AMOUNT>% أسرع من مدة الخدمات.
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_TITLE,<SERVICE BUILDING> (المستوى <LEVEL>)
TID_SERVICE_BUILDING_UPGRADE_TREE_HUD_UPGRADE_TEXT,اختر لترقية المواضع أو النّقود أو الخبرة / السمعة أو مدة الخدمة:
TID_SERVICE_BUILDINGS_NONE_ON_MAP,وجود بقالة سيكون أمرا جيدا!
TID_SERVICE_CANCELED,تم إبعادي من <BUILDING> ولا أريد الذهاب إلى هناك ثانيةً.
TID_SERVICE_COMPLETED,لا أريد الذهاب إلى <BUILDING> ثانية.
TID_TOWN_HALL_COMING_SOON,قاعة المدينة ستصبح متاحة مع مستوى سمعة <LEVEL>
TID_TOWN_HALL_PASSENGER_MANIFEST,الزوار في بلدتك:
TID_TOWN_HALL_PASSENGER_STATE_ARRIVED,وصل
TID_TOWN_HALL_PASSENGER_STATE_BOARD_TRAIN,جار الركوب
TID_TOWN_HALL_PASSENGER_STATE_BOARDED_TRAIN,تم الركوب
TID_TOWN_HALL_PASSENGER_STATE_HAS_NH_PICKUP,التوصيل عن طريق أحد الأصدقاء
TID_TOWN_HALL_PASSENGER_STATE_IDLE,خامل
TID_TOWN_HALL_PASSENGER_STATE_SERVICE,ستتم الخدمة خلال <TIME>
TID_TOWN_HALL_PASSENGER_STATE_SERVICE_HAPPY,جاهز في <BUILDING>
TID_TOWN_HALL_PASSENGER_STATE_WAIT_FOR_BOARD_TRAIN,انتظار قطار
TID_TOWN_HALL_PASSENGER_STATE_WAITING_FOR_SERVICE,الانتظار في <BUILDING>
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_RANDOM,خامل
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_SERVICE_BUILDING,المشي إلى <BUILDING>
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_TRAIN,المشي إلى الرصيف
TID_TOWN_HALL_REPUTATION,مستوى السمعة:
TID_TOWN_HALL_TITLE,قاعة المدينة (المستوى <RANK>)
TID_TOWN_HALL_UPGRADE,ترقية
TID_TOWN_HALL_UPGRADE_DESCRIPTION,سعة البلدة +<VILLAGE CAPACITY>
TID_TOWN_HALL_UPGRADE_REPUTATION_REQUIRED_TEXT,يلزم مستوى سمعة <REPUTATION LEVEL> كحد أدنى لترقية قاعة المدينة.
TID_TOWN_HALL_UPGRADE_TITLE,ترقية قاعة المدينة
TID_TOWN_HALL_VISITOR_CAPACITY,سعة الزوار:
TID_TOWN_HALL_VISITOR_ICON_TOOLTIP,العدد الحالي وأقصى عدد من الزوار الذين يزورون بلدتك.
TID_TRAIN,الرصيف والمسارات
TID_TRAIN_BEACHCAFE,مقهى الشاطئ
TID_TRAIN_BEACHCAFE_DESC,يقدم وجبات عصرية ومرحة
TID_TRAIN_BEDANDBREAKFAST,استراحة النوم والإفطار
TID_TRAIN_BEDANDBREAKFAST_DESC,توفير وجبات إفطار شهية وأسرّة مريحة
TID_TRAIN_DINER,مطعم
TID_TRAIN_DINER_DESC,يقدم أفضل الفطائر في البلاد
TID_TRAIN_GROCERYSTORE,البقالة
TID_TRAIN_GROCERYSTORE_DESC,يقدم بقالة عضوية وطازجة
TID_TRAIN_ITEM_BRICKS,طوب
TID_TRAIN_ITEM_BRICKS_DESC,لترقية المباني في البلدة
TID_TRAIN_ITEM_HAMMER,مطرقة
TID_TRAIN_ITEM_HAMMER_DESC,لترقية المباني في البلدة
TID_TRAIN_ITEM_HAND_DRILL,مثقاب
TID_TRAIN_ITEM_HAND_DRILL_DESC,لترقية المباني في البلدة
TID_TRAIN_ITEM_MAP_PIECE,قطعة خريطة
TID_TRAIN_ITEM_MAP_PIECE_DESC,يُستخدم لتوسعة منطقة البلدة
TID_TRAIN_ITEM_PAINT_BUCKET,دلو طلاء
TID_TRAIN_ITEM_PAINT_BUCKET_DESC,لترقية المباني في البلدة
TID_TRAIN_ITEM_STONES,كتلة حجرية
TID_TRAIN_ITEM_STONES_DESC,لترقية المباني في البلدة
TID_TRAIN_ITEM_TAR_BUCKET,دلو قار
TID_TRAIN_ITEM_TAR_BUCKET_DESC,لترقية المباني في البلدة
TID_TRAIN_MOVIETHEATER,دار السينما
TID_TRAIN_MOVIETHEATER_DESC,تقديم وجبات شهية ولحظات ممتعة
TID_TRAIN_NEIGHBORHOOD_PLATFORM,رصيف الحي
TID_TRAIN_PICK_UP_FROM_FRIEND_TOOLTIP_DESCRIPTION,توصيل <PASSENGER> بقطاري الشخصي.
TID_TRAIN_SPA,منتجع
TID_TRAIN_SPA_DESC,يقدم منتجات غذائية وصحية
TID_TRAIN_STATE_ARRIVING,القطار السريع على وشك الوصول
TID_TRAIN_STATE_AWAY,سيصل القطار السريع التالي خلال: <TIME>
TID_TRAIN_STATE_LEAVING,القطار السريع يغادر بلدتك
TID_TRAIN_STATE_STOPPED,وصل القطار السريع إلى البلدة
TID_TRAIN_STATION_GET_TRAIN_NOW,الحصول على القطار الآن
TID_TRAIN_STATION_IMAGE_TOOLTIP,يصل القطار كل <TIME> ويجلب <MAX CAPACITY> من الزوار. قم بترقية محطة القطار للحصول على مزيد من الزوار.
TID_TRAIN_STATION_PICKUP_SLOT_NONE_AVAILABLE,ترقية محطة قطار الحي لفتح المزيد من مواضع الأرصفة!
TID_TRAIN_STATION_TITLE,محطة القطار (المستوى <LEVEL>)
TID_TRAIN_STATION_UPGRADE,ترقية
TID_TRAIN_STATION_UPGRADE_DESCRIPTION,سعة القطار الحالية: <OLD MAX CAPACITY>\n\nالترقية إلى: <NEW MAX CAPACITY>
TID_TRAIN_STATION_UPGRADE_REPUTATION_REQUIRED_TEXT,يلزم مستوى سمعة <REPUTATION LEVEL> كحد أدنى للترقية.
TID_TRAIN_STATION_UPGRADE_TITLE,ترقية المحطة
TID_TRAIN_STATION_VISITOR_AMOUNT,الزوار في القطار التالي: <AMOUNT>
TID_TRAIN_STATION_VISITOR_AMOUNT_VILLAGE_CAPACITY_FULL,تمتلك بلدتك مساحة لاستقبال <AMOUNT> من الزوار فقط!
TID_TRAIN_TOWNHALL,قاعة المدينة
TID_TRAIN_TOWNHALL_DESC,الترقية لزيادة سعة البلدة
TID_TRAIN_TRAINSTATION,إبعاد
TID_TYPE_TRAIN_STATION_PASSENGER_ALREADY_PICKED,المعذرة، هناك من قام بالتقاط الزائر سابقاً!
TID_VISITOR_PICK_UP_PASSENGER_MANIFEST,الزوار الذين ينتظرون في الرصيف:
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_CAPACITY,سعة القطار الشخصي:
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_FULL_DESCRIPTION,القطار الشخصي ممتلئ! احصل على مزيد من المقاعد بترقية قطارك الشخصي.
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_IS_ON_COOLDOWN,القطار في الصيانة! قم بتسريعه!
TID_VISITOR_PICK_UP_TITLE,القطار الشخصي
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_UNREPAIRED,أصلح القطار الشخصي أولا لالتقاط الزوار المغادرين من بلدات الحي.
TID_ISSUE_TYPE_TELEPHONE_HELP,المساعدة بالهاتف (الكورية فقط)
TID_TELEPHONE_HELP_TITLE,عنوان المساعدة بالهاتف (الكورية فقط)
TID_TELEPHONE_HELP_TEXT,نص المساعدة بالهاتف (الكورية فقط)
TID_TELEPHONE_HELP_OK,المساعدة بالهاتف مقبولة (الكورية فقط)
TID_TOWN_ROAD_01,طريق كلسي
TID_TOWN_ROAD_02,طريق صخري
TID_TOWN_HALL_PASSENGER_STATE_GOING_HOME,الذهاب إلى المنزل
TID_NAME_AND_TITLE_FORMAT,<NAME> الـ<TITLE>
TID_TOWN_ROAD_03,طريق الحصى
TID_TUTORIAL_93_DRASINE_UNLOCKED,عُمدة المدينة منبهر جدا بما أنجزته في المزرعة! يريد أن يريك شيئا.
TID_TUTORIAL_93A_DRASINE_UNLOCKED,أصلح الرصيف ولنر إلى أين ستأخذنا هذه المسارات.
TID_TUTORIAL_94_DRASINE_FIXED,رائع! انظر إلى عربة السكة الحديد الصغيرة اليدوية البراقة. تبدو مثل التي كانت مع عمك بالضبط. والآن انقر على عربة السكة الحديد اليدوية ولنر إلى أين ستأخذنا!
TID_TUTORIAL_95_TRAIN_AREA_WELCOME,مذهل! إنها البلدة القديمة التي كان يعمل عليها عمك مع عُمدة المدينة. لم يقم أحد برعايتها بعد تقاعده. ينبغي عليك بناؤها!
TID_TUTORIAL_96A_PAINT_TRAIN_STATION,شمّر عن ساعديك ولنبدأ العمل! ابدأ بإصلاح محطة القطار!
TID_TUTORIAL_97A_TAP_FIRST_VISITOR,أول زوار لك! هذا مثير جدا. انقر واحدا لترى ما يريدون.
TID_TUTORIAL_98A_PLACE_GROCERY,ممتاز! ابن البقالة من المتجر!
TID_TUTORIAL_99_GROCERY_STORE_BUILT,أحسنت! والآن بعد بناء البقالة، فلنقدم الخدمة لهؤلاء الزوار!
TID_COAL_ORE,فحم
TID_IRON_ORE,حديد خام
TID_COAL_ORE_DESCRIPTION,يُجمع من المنجم
TID_IRON_ORE_DESCRIPTION,يُجمع من المنجم
TID_COAL_BAR,فحم مكرر
TID_IRON_BAR,سبيكة حديد
TID_IRONBRACELET,سوار حديدي
TID_VISITOR_PICK_UP_SELECTED,تم الاختيار
TID_TUTORIAL_100A_SEND_TO_GROCERY,انقر على أحد الزوار وأرسله إلى البقالة!
TID_TUTORIAL_SERVICE_BUILDING_TITLE,تقديم الخدمة للزوار
TID_TUTORIAL_101A_SERVICE_VISITOR,انقر أيقونة الزائر واسحب القمح والبيض إلى الزائر لبدء الخدمة!
TID_NAME_MALE_0,آرون
TID_NAME_MALE_1,آدريان
TID_NAME_MALE_2,ألبرتو
TID_NAME_MALE_3,أليخاندرو
TID_NAME_MALE_4,أليكس
TID_NAME_MALE_5,أليكساندر
TID_NAME_MALE_6,ألفونسو
TID_NAME_MALE_7,آندرو
TID_NAME_MALE_8,آندي
TID_NAME_MALE_9,أنتوني
TID_NAME_MALE_10,أنطوان
TID_NAME_MALE_11,آرثر
TID_NAME_MALE_12,أوستن
TID_NAME_MALE_13,آكسيل
TID_NAME_MALE_14,بن
TID_NAME_MALE_15,بنجامين
TID_NAME_MALE_16,بيلي
TID_NAME_MALE_17,براندون
TID_NAME_MALE_18,برونو
TID_NAME_MALE_19,تشارلز
TID_NAME_MALE_20,كريستيان
TID_NAME_MALE_21,كريستوفر
TID_NAME_MALE_22,كلارك
TID_NAME_MALE_23,كريغ
TID_NAME_MALE_24,دانييل
TID_NAME_MALE_25,ديفيد
TID_NAME_MALE_26,دومينيك
TID_NAME_MALE_27,إدوارد
TID_NAME_MALE_28,إلاياه
TID_NAME_MALE_29,إليوت
TID_NAME_MALE_30,إريك
TID_NAME_MALE_31,إيثان
TID_NAME_MALE_32,إيفان
TID_NAME_MALE_33,هنري
TID_NAME_MALE_34,إيان
TID_NAME_MALE_35,جاك
TID_NAME_MALE_36,جيمس
TID_NAME_MALE_37,جون
TID_NAME_MALE_38,جوزيف
TID_NAME_MALE_39,جوان
TID_NAME_MALE_40,ليونارد
TID_NAME_MALE_41,ليام
TID_NAME_MALE_42,لوغان
TID_NAME_MALE_43,لوكاس
TID_NAME_MALE_44,لوك
TID_NAME_MALE_45,مالكولم
TID_NAME_MALE_46,مارتن
TID_NAME_MALE_47,ماثيو
TID_NAME_MALE_48,مايكل
TID_NAME_MALE_49,مورغان
TID_NAME_MALE_50,نايت
TID_NAME_MALE_51,نايثن
TID_NAME_MALE_52,نييل
TID_NAME_MALE_53,نيكولاس
TID_NAME_MALE_54,أوليفر
TID_NAME_MALE_55,بيتر
TID_NAME_MALE_56,رافاييل
TID_NAME_MALE_57,ريتشارد
TID_NAME_MALE_58,روبرت
TID_NAME_MALE_59,ريان
TID_NAME_MALE_60,صامويل
TID_NAME_MALE_61,سيباستيان
TID_NAME_MALE_62,سيث
TID_NAME_MALE_63,سيمون
TID_NAME_MALE_64,ستانلي
TID_NAME_MALE_65,تايلور
TID_NAME_MALE_66,ثيو
TID_NAME_MALE_67,توماس
TID_NAME_MALE_68,ويليام
TID_NAME_MALE_69,ويات
TID_NAME_FEMALE_0,آبيغايل
TID_NAME_FEMALE_1,آديل
TID_NAME_FEMALE_2,أليكساندرا
TID_NAME_FEMALE_3,أليكسز
TID_NAME_FEMALE_4,آليس
TID_NAME_FEMALE_5,أليسون
TID_NAME_FEMALE_6,آليشا
TID_NAME_FEMALE_7,آلايسون
TID_NAME_FEMALE_8,أماندا
TID_NAME_FEMALE_9,أميليا
TID_NAME_FEMALE_10,إيمي
TID_NAME_FEMALE_11,أنابيل
TID_NAME_FEMALE_12,أندريا
TID_NAME_FEMALE_13,أنجيلا
TID_NAME_FEMALE_14,أنجلينا
TID_NAME_FEMALE_15,آنابيل
TID_NAME_FEMALE_16,آن
TID_NAME_FEMALE_17,آني
TID_NAME_FEMALE_18,آشلي
TID_NAME_FEMALE_19,أودري
TID_NAME_FEMALE_20,باربرا
TID_NAME_FEMALE_21,بيلا
TID_NAME_FEMALE_22,كاتالينا
TID_NAME_FEMALE_23,تشارلوت
TID_NAME_FEMALE_24,كلوي
TID_NAME_FEMALE_25,كلير
TID_NAME_FEMALE_26,دانييلا
TID_NAME_FEMALE_27,دوروثي
TID_NAME_FEMALE_28,إليزابيث
TID_NAME_FEMALE_29,إيلا
TID_NAME_FEMALE_30,إيميلي
TID_NAME_FEMALE_31,إيما
TID_NAME_FEMALE_32,إيستر
TID_NAME_FEMALE_33,إيفيلن
TID_NAME_FEMALE_34,فيونا
TID_NAME_FEMALE_35,غابرييل
TID_NAME_FEMALE_36,غرايس
TID_NAME_FEMALE_37,غرايسي
TID_NAME_FEMALE_38,هانا
TID_NAME_FEMALE_39,إيزابيلا
TID_NAME_FEMALE_40,جينيفر
TID_NAME_FEMALE_41,جيسيكا
TID_NAME_FEMALE_42,جوليا
TID_NAME_FEMALE_43,جولييت
TID_NAME_FEMALE_44,كايت
TID_NAME_FEMALE_45,كاثرين
TID_NAME_FEMALE_46,كاثرن
TID_NAME_FEMALE_47,كيلي
TID_NAME_FEMALE_48,لورا
TID_NAME_FEMALE_49,ليلى
TID_NAME_FEMALE_50,ليليان
TID_NAME_FEMALE_51,ليلي
TID_NAME_FEMALE_52,ليندا
TID_NAME_FEMALE_53,لوسي
TID_NAME_FEMALE_54,ليديا
TID_NAME_FEMALE_55,ماغي
TID_NAME_FEMALE_56,ماري
TID_NAME_FEMALE_57,مايا
TID_NAME_FEMALE_58,ميا
TID_NAME_FEMALE_59,مولي
TID_NAME_FEMALE_60,ناتالي
TID_NAME_FEMALE_61,نيكول
TID_NAME_FEMALE_62,أوليفيا
TID_NAME_FEMALE_63,باتريشيا
TID_NAME_FEMALE_64,بايبر
TID_NAME_FEMALE_65,رايتشيل
TID_NAME_FEMALE_66,سامانثا
TID_NAME_FEMALE_67,سارا
TID_NAME_FEMALE_68,سكارليت
TID_NAME_FEMALE_69,صوفيا
TID_NAME_FEMALE_70,صوفي
TID_NAME_FEMALE_71,سوزان
TID_NAME_FEMALE_72,فيكتوريا
TID_NAME_FEMALE_73,فايوليت
TID_NAME_FEMALE_74,زوي
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_IS_LEAVING,القطار الشخصي يغادر!
TID_TRAIN_STATION,محطة القطار
TID_TUTORIAL_102A_SPEED_UP_SERVICE,فلنسرع الخدمة الآن! لا تقلق، أول زيادة سرعة ستكون مجانية!
TID_TUTORIAL_103A_COLLECT_REWARD,مذهل! والآن انقر على الزائر لجمع الجائزة!
TID_TUTORIAL_104A_UPGRADE_SERVICE_BUILDING,ممتاز! والآن قم بترقية متجر البقالة لخدمة المزيد من الزوار في كل مرة!
TID_TUTORIAL_105A_REPAIR_TOWN_HALL,بلدتك تنمو بسرعة وتزداد شعبية! أصلح قاعة المدينة القديمة لمتابعة كل الزوار!
TID_TUTORIAL_106A_SEND_TO_GROCERY_VIA_TOWN_HALL,فلنستخدم قاعة المدينة لتحديد الزوار!
TID_TUTORIAL_107_TRAIN_TUTORIAL_COMPLETED,عمل رائع! والآن ضع المزيد من المباني، وقم بتقديم الخدمة لمزيد من الزوار وإعادة بلدتك إلى أيام مجدها!
TID_TUTORIAL_108_REPAIR_PERSONAL_TRAIN,حان الوقت لزيارة حيك! فلنصلح قطار عمك القديم ولنر ما يفعله أصدقاؤك!
TID_TUTORIAL_109A_VISIT_NEIGHBORHOOD_FRIEND,استخدم قطارك الشخصي لزيارة أصدقائك في الحي لالتقاط الزوار المغادرين!
TID_PASSENGER_WAITING_TRAIN_GOING_HOME,شكرا على كل شيء! لقد زرت بلدتين. سأذهب إلى المنزل الآن.
TID_VISITOR_PICK_UP_NEIGHBOURHOOD_INFO,ليس لدى صديقك حاليا أي زوار مغادرين لالتقاطهم.
TID_UPGRADE_TREE_HUD_TOOLTIP_BUILDING_UPGRADE_REQUIRED,ترقية <BUILDING> إلى المستوى <LEVEL> للفتح.
TID_UPGRADE_TREE_HUD_TOOLTIP_BONUS_MAXED_OUT,تم الوصول إلى أقصى مستوى.
TID_VISITOR_COLLECT_REPUTATION,<PARAM> التقط أحد الزوار ومنحك نقطة سمعة!
TID_PERSONALTRAIN_FRIENDLIST_NOT_IN_NEIGHBORHOOD,انضم إلى حي لالتقاط الزوار!
TID_PERSONALTRAIN_FRIENDLIST_NO_MEMBERS,احصل على المزيد من أصدقاء الحي لالتقاط الزوار!
TID_PERSONALTRAIN_FRIENDLIST_NO_VISITORS,أصدقاؤك في الحي ليس لديهم زوار لالتقاطهم الآن!
TID_VISITOR_PICK_UP_UI_TITLE,التقاط الزوار!
TID_FLOATER_EXPANSION_TRAIN_AREA_COMING_SOON,سيتم فتح توسعات البلدة في مستوى السمعة <LEVEL>
TID_VISITOR_PICK_UP_TOWN_FULL,بلدتك ممتلئة! قم بترقية قاعة المدينة لاستضافة المزيد من الزوار!
TID_VISITOR_PICK_UP_SERVICE_BUILDING_LOCKED,سيصبح مبنى الخدمات متاحا مع مستوى سمعة <PARAM>!
TID_VISITOR_PICK_UP_NOT_IN_NEIGHBORHOOD,انضم إلى حي لالتقاط الزوار من أصدقاء الحي!
TID_VISITOR_PICK_UP_NOT_IN_SAME_NEIGHBORHOOD,يمكنك التقاط الزوار من أصدقاء الحي. قم بدعوة <PARAM> إلى حيك!
TID_VISITOR_PICK_UP_PERSONAL_TRAIN_GOING_HOME,قطارك يجلب زوار إلى بلدتك!
TID_SERVICE_LIST_ITEM_REWARDS,جوائز
TID_TOP_CENTER_HUD_REPUTATION_ICON_TOOLTIP,مستوى سمعة بلدتك. فتح المزيد من مباني الخدمات بتقديم الخدمة لمزيد من الزوار!
TID_CROP_COTTON,قطن
TID_PASSENGER_COWBOY,راعي بقر
