TID,NL
TID_TUTORIAL_58_MOBILE,Je kunt nu huisdieren en andere leuke dingen in de winkel kopen met tegoedbonnen!
TID_VOUCHER1_DESCRIPTION_MOBILE,Ruil ze in voor speciale items uit de winkel.
TID_VOUCHER2_DESCRIPTION_MOBILE,Ruil ze in voor speciale items uit de winkel.
TID_VOUCHER3_DESCRIPTION_MOBILE,Ruil ze in voor speciale items uit de winkel.
TID_VOUCHER4_DESCRIPTION_MOBILE,Ruil ze in voor speciale items uit de winkel.
TID_COFFEE_DESCRIPTION_MOBILE,Pluk je van een koffiestruik
TID_COFFEE_BUSH_DESCRIPTION_MOBILE,Kan drie keer leeggeplukt worden
TID_CAFE_DESCRIPTION_MOBILE,Produceert warme dranken
TID_HOLIDAYTREE_DESCRIPTION_MOBILE,Vier de feestdagen
TID_GIFTS_DESCRIPTION_MOBILE,Vier de feestdagen
TID_TOYSOLDIER_DESCRIPTION_MOBILE,Vier de feestdagen
TID_CANDYPOLE_DESCRIPTION_MOBILE,Vier de feestdagen
TID_HOLIDAYFLOWER_DESCRIPTION_MOBILE,Vier de feestdagen
TID_SNOWMAN_DESCRIPTION_MOBILE,Vier de feestdagen
TID_FROZENPOND_1_DESCRIPTION_MOBILE,Vier de feestdagen
TID_FROZENPOND_2_DESCRIPTION_MOBILE,Vier de feestdagen
TID_HORSE_DESCRIPTION_MOBILE,Voer dit dier om punten te verzamelen
TID_BIRD_BATH_DESCRIPTION_MOBILE,Trekt vogels aan
TID_NEWSPAPER_FB_PROMO_TEXT_MOBILE,Voor het laatste Hay Day-nieuws!
TID_FISHING_SPOT_UNLOCK_DESCRIPTION_MOBILE,"Op deze plek vind je allerlei spannende, nieuwe vissen."
TID_TUTORIAL_FISHING_5_MOBILE,Dit is een goede visplek voor beginners. Probeer er maar een te vangen. Wacht geduldig af tot een vis bijt.
TID_TUTORIAL_FISHING_8_MOBILE,"Met deze werkbank kun je nieuw kunstaas maken. Voor wormenaas heb je alleen tijd nodig, maar de meeste vissen vinden het niet lekker."
TID_TUTORIAL_FISHING_9_MOBILE,"Gebruik tegoedbonnen om speciaal kunstaas te maken om verschillende vissen te lokken. Zodra je klaar bent, wordt al je kunstaas bewaard in je viskoffer. Veel succes! Als je ooit hulp nodig hebt, kun je gewoon op mij tikken."
TID_REPAIR_MINE_TEXT_MOBILE,"In de mijn vind je spullen met behulp van dynamiet, een TNT-ton of een schep. Je kunt er waardevolle ertsen of zelfs diamanten vinden!"
TID_REPAIR_LOBSTER_POOL_TEXT_MOBILE,"De kreeften die je vangt, worden automatisch hierheen verplaatst zodra je het bad repareert!"
TID_TUTORIAL_75_MOBILE,De nettenmaker en de netten zijn nu beschikbaar in je visgebied. Ga maar kijken.
TID_TUTORIAL_76_MOBILE,Kreeftvissen en het kreeftenbad zijn nu beschikbaar in je visgebied. Ga maar kijken.
TID_REQUIRES_LOBSTER_POOL_MOBILE,Vereist een kreeftenbad en een nettenmaker
TID_EVENT_CONTRIBUTE_BUTTON,Bijdragen
TID_EVENT_CRATE_TEXT,Tik om toe te voegen
TID_MASSGIFT_GLOBAL_EVENT_FOOTER_REGARDS,"Groetjes,"
TID_MASSGIFT_GLOBAL_EVENT_FOOTER_MAYOR,De burgemeester
TID_RATE_APP_MESSAGE_ANDROID,"Beoordeel ons op Google Play, zodat we geweldige games kunnen blijven maken!"
TID_DECO_HALLOWEEN_TOMBSTONE,Grafsteen
TID_DECO_HALLOWEEN_PUMPKINTOTEM,Pompoenvoet
TID_DECO_HALLOWEEN_COFFIN,Geheime doodskist
TID_DECO_HALLOWEEN_DEAD_TREE,Spinnenboom
TID_DECO_HALLOWEEN_PUMPKIN,Pompoenlamp
TID_DECO_HALLOWEEN_CAULDRON,Snoepketel
TID_DECO_HALLOWEEN_TOMBSTONE_DESC,Halloween-\ndecoratie
TID_DECO_HALLOWEEN_PUMPKINTOTEM_DESC,Halloween-\ndecoratie
TID_DECO_HALLOWEEN_COFFIN_DESC,Unieke halloween-\ndecoratie
TID_DECO_HALLOWEEN_COFFIN_DESC_MOBILE,Unieke halloween-\ndecoratie
TID_DECO_HALLOWEEN_DEAD_TREE_DESC,Halloween-\ndecoratie
TID_DECO_HALLOWEEN_PUMPKIN_DESC,Halloween-\ndecoratie
TID_DECO_HALLOWEEN_CAULDRON_DESC,Halloween-\ndecoratie
TID_DECO_HALLOWEEN_FENCE_08,Kerkhofhek
TID_DECO_HALLOWEEN_FENCE_08_DESC,Halloween-\ndecoratie
TID_TOP_CONTRIBUTORS,Topbijdragers
TID_RECENT_CONTRIBUTORS,Recente bijdragers
TID_CALENDAR_EVENT_THRESHOLD_REWARD_GAINED,Persoonlijk doel bereikt!
TID_NOTIFICATIONS_SETTINGS_ORDER_READY,Meldingen over bestellingen per truck
TID_NOTIFICATIONS_SETTINGS_ROADSIDE_SHOP,Meldingen over de boerderijkraam
TID_NOTIFICATIONS_SETTINGS_CROPS,Meldingen over gewassen
TID_NOTIFICATIONS_SETTINGS_ANIMALS,Meldingen over dieren
TID_NOTIFICATIONS_SETTINGS_CONSTRUCTION_BUILDING,Meldingen over gebouwen
TID_NOTIFICATIONS_SETTINGS_TOM,Meldingen van Tom
TID_NOTIFICATIONS_SETTINGS_BOAT,Meldingen over de rivierboot
TID_NOTIFICATIONS_SETTINGS_MASTERY_STAR,Meldingen over meesterschap
TID_NOTIFICATIONS_SETTINGS_MISCELLANEOUS,Overige meldingen
TID_NOTIFICATIONS_SETTINGS_CALENDAR_EVENT,Meldingen over evenementen
TID_CANDY_MACHINE_DESCRIPTION_MOBILE,Produceert snoep
TID_MASTERY_INFO_POPUP_TOOLTIP_COINS_MOBILE,Goederen van je <BUILDING> zullen <BONUS> munten waard zijn bij bestellingen per truck.
TID_MASTERY_INFO_POPUP_TOOLTIP_TIME_MOBILE,Goederen van je <BUILDING> worden <BONUS> sneller geproduceerd.
TID_TOOLS_OFFER_DESCRIPTION_MOBILE,Dit zeldzame voorwerp is nu <DISCOUNT>% goedkoper!
TID_CONFIRM_SPEND_DIAMONDS_DESCRIPTION_MOBILE,Wil je nu de volgende meesterster kopen?
TID_BOY_HIRE_OFFER_TEXT_MOBILE,Bedankt dat je me hebt ingehuurd. Ik geef je korting als je me in de komende minuten opnieuw in dienst neemt.
TID_TUTORIAL_FISHING_3_MOBILE,"Krijg nou wat! Ik heb die boot in geen tijden gezien! Je oom en ik hebben daar heerlijk op gevist. Ga ook eens vissen, je ligt echt niet alleen te dobberen! Haha!"
TID_FISH_2_DESCRIPTION_MOBILE,Een majestueuze vis die in de lente felrood wordt. Houdt van zanderige rivierbeddingen.
TID_FISH_6_DESCRIPTION_MOBILE,"Deze zalm heeft altijd honger, dus je kunt deze altijd lokken met een hapje."
TID_FISH_7_DESCRIPTION_MOBILE,Deze vis komt veel voor en is makkelijk te vangen. Het is dus een leuke vis om achteraan te gaan.
TID_FISH_13_DESCRIPTION_MOBILE,De opzichter van het meer! Voedt zich met bezinksel op de bodem en houdt de boel schoon.
TID_FISH_14_DESCRIPTION_MOBILE,Na een lange tocht door de rivier wil deze reiziger het even rustig aan doen.
TID_FISH_17_DESCRIPTION_MOBILE,"Dat deze vis in jouw meer voorkomt, geeft aan dat je een prettige leefomgeving hebt gecreëerd."
TID_FISH_19_DESCRIPTION_MOBILE,Dit visje kan met iedereen opschieten. Zijn babysitter is een weekdier!
TID_FISH_25_DESCRIPTION_MOBILE,"Het is niet makkelijk om deze snelle, kleine en wendbare vis te vangen, maar het is de moeite waard!"
TID_FISH_27_DESCRIPTION_MOBILE,Zeer bedreven insectenjager. Verrassend sterk. Houd je hengel stevig vast!
TID_FISH_31_DESCRIPTION_MOBILE,Ontspant graag in rustige meertjes en houdt niet van de stroming van rivieren.
TID_FISH_36_DESCRIPTION_MOBILE,Dit is een prachtig exemplaar met glimmende schubben en sierlijke bewegingen.
TID_FISH_38_DESCRIPTION_MOBILE,"Deze prachtige, slanke en glanzende vis laat graag zijn schubben zien."
TID_FISH_43_DESCRIPTION_MOBILE,Zwemt graag in koel water en in scholen. Deze vis wil iets bereiken in het leven!
TID_FISH_47_DESCRIPTION_MOBILE,"Deze zelfverzekerde vis heeft een stijlvol, rood-gouden uiterlijk!"
TID_FISH_48_DESCRIPTION_MOBILE,"Dit is niet de grootste baars, hoewel zijn gedrag en zijn vinnen anders doen vermoeden."
TID_FISH_50_DESCRIPTION_MOBILE,Deze vis is een echte pionier. Hij droomt al van jongs af aan van het ontdekken van nieuwe meren.
TID_FISH_52_DESCRIPTION_MOBILE,Deze goed gecamoufleerde baars is een zeer indrukwekkende vangst. Kun jij deze lokken?
TID_FISH_55_DESCRIPTION_MOBILE,"Deze mooie, grote zoetwatervis is een van de zeldzaamste vangsten. Zorg er goed voor!"
TID_FISH_56_DESCRIPTION_MOBILE,Zwemt altijd achter andere vissen aan! Ze vinden het fijn als jij de snoek even afleidt.
TID_FISH_57_DESCRIPTION_MOBILE,Deze baars weet wanneer hij zijn mond dicht moet houden. Gebruik alleen het meest luxueuze kunstaas!
TID_FISH_59_DESCRIPTION_MOBILE,"Deze vegetarische vis leidt een simpel, gezond leven. Tip: houdt niet van wormen!"
TID_FISH_62_DESCRIPTION_MOBILE,"Klein maar pittig. Als hij bijt, moet je flink aan de bak!"
TID_FISH_63_DESCRIPTION_MOBILE,"Een beroemdheid onder de vissen. Als andere hengelaars erachter komen, wordt je meer bestormd!"
TID_FISH_66_DESCRIPTION_MOBILE,"Als jij een langoor in je meer hebt, maak je veel aquariumfanaten jaloers."
TID_DECO_PICNICMAT_DESCRIPTION_MOBILE,Geniet van de zomer (tijdelijk)
TID_DECO_STATUE_SINGING_DESCRIPTION_MOBILE,Exclusieve decoratie
TID_DECO_STATUE_ET_DESCRIPTION_MOBILE,Exclusieve decoratie
TID_DECO_STATUE_ALICE_DESCRIPTION_MOBILE,Exclusieve decoratie
TID_DECO_STATUE_ROCKY_DESCRIPTION_MOBILE,Exclusieve decoratie
TID_ACHIEVEMENT_BIGGAME_FISHER_DESCRIPTION_MOBILE,Vang vissen met een gewicht van <NUMBER> kg in totaal met kunstaas
TID_FISH_100,Snoekbaars
TID_FISH_100_DESCRIPTION,Dit enorme roofdier wil maar wat graag in het kunstaas bijten. Alle andere vissen zullen juichen als je deze binnenhaalt!
TID_FISH_100_DESCRIPTION_MOBILE,Dit enorme roofdier wil maar wat graag in het kunstaas bijten. Alle andere vissen zullen juichen als je deze binnenhaalt!
TID_FISH_101,Grote karper
TID_FISH_101_DESCRIPTION,Stoei niet met deze grote karper! Het is de grootste vis in de vijver en er valt niet met deze dame te spotten!
TID_FISH_101_DESCRIPTION_MOBILE,Stoei niet met deze grote karper! Het is de grootste vis in de vijver en er valt niet met deze dame te spotten!
TID_FISH_102,Steur
TID_FISH_102_DESCRIPTION,Deze grote vis heeft een dikke huid en laat zich niet snel gek maken!
TID_FISH_102_DESCRIPTION_MOBILE,Deze grote vis heeft een dikke huid en laat zich niet snel gek maken!
TID_FISH_103,Karper
TID_FISH_103_DESCRIPTION,"De teddybeer van het meer. Hij is groot, schattig en knuffelig en zou andere vissen nooit een vlieg kwaad doen."
TID_FISH_103_DESCRIPTION_MOBILE,"De teddybeer van het meer. Hij is groot, schattig en knuffelig en zou andere vissen nooit een vlieg kwaad doen."
TID_GREG,Greg
TID_TOM,Tom
TID_CALENDAR_EVENT_FISH_WEIGHT,<WEIGHT> kg
TID_ADVANCED_EVENT_NOTIFICATION_GENERIC,Er is zojuist een evenement met geweldige prijzen van start gegaan! Ga maar kijken!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_GENERIC,Wereldwijd evenement
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_GENERIC,"Hoi <NAME>! Iedereen heel hartelijk bedankt voor jullie deelname aan het wereldwijde evenement. Samen hebben we het voor elkaar gekregen en het was een succes! Alsjeblieft, hier is een beloning voor je bijdrage!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_GENERIC,Het is ons gelukt!
TID_ADVANCED_EVENT_SUCCESS_TEXT_GENERIC,De burgemeester is in zijn nopjes met de bijdragen van de boeren en de geweldige samenwerking.
TID_ADVANCED_EVENT_FAIL_TITLE_GENERIC,Het is ons niet gelukt...
TID_ADVANCED_EVENT_FAIL_TEXT_GENERIC,Maar we hebben ons best gedaan. De volgende keer hebben we vast meer geluk!
TID_ADVANCED_EVENT_TITLE_GENERIC_CARORDERS,Voorraadtekort
TID_ADVANCED_EVENT_TEXT_GENERIC_CARORDERS,"De zaken gaan goed, maar er is een wereldwijd tekort aan voorraden. Voltooi binnen de tijd zoveel mogelijk bestellingen met de truck. Bereik je persoonlijke doelen voor geweldige beloningen. Je resultaten tellen ook mee voor het wereldwijde communitydoel. Bereik samen met boeren uit de hele wereld het wereldwijde doel. Jullie krijgen allemaal een beloning!"
TID_ADVANCED_EVENT_TITLE_GENERIC_VISITORS,Toeristenseizoen
TID_ADVANCED_EVENT_TEXT_GENERIC_VISITORS,De stad en het platteland worden overspoeld met toeristen. Verkoop binnen de tijd aan zoveel mogelijk bezoekers. Bereik je persoonlijke doelen voor geweldige beloningen. Je resultaten tellen ook mee voor het wereldwijde communitydoel. Bereik samen met boeren uit de hele wereld het wereldwijde doel. Jullie krijgen allemaal een beloning!
TID_ADVANCED_EVENT_TITLE_GENERIC_BOAT,Rivierbootseizoen
TID_ADVANCED_EVENT_TEXT_GENERIC_BOAT,Verderop langs de rivier vindt een groot festival plaats. Er zijn bootladingen voorraden nodig. Vervoer binnen de tijd zoveel mogelijk vrachtjes per rivierboot. Bereik je persoonlijke doelen voor geweldige beloningen. Je resultaten tellen ook mee voor het wereldwijde communitydoel. Bereik samen met boeren uit de hele wereld het wereldwijde doel. Jullie krijgen allemaal een beloning!
TID_ADVANCED_EVENT_TITLE_GENERIC_FISHING,Seizoen voor vissen met kunstaas
TID_ADVANCED_EVENT_TEXT_GENERIC_FISHING,"Vis met kunstaas om een zo groot mogelijk gewicht aan vissen te vangen. Er zijn reusachtige, zeldzame vissen gespot die alleen dit seizoen voorkomen. Kun jij ze allemaal vangen om je verzameling te voltooien? Bereik je persoonlijke doelen voor geweldige beloningen. Je resultaten tellen ook mee voor het wereldwijde communitydoel. Bereik samen met boeren uit de hele wereld het wereldwijde doel. Jullie krijgen allemaal een beloning!"
TID_ADVANCED_EVENT_TITLE_GENERIC_ITEM_DUMPING,Hulp gezocht!
TID_ADVANCED_EVENT_TEXT_GENERIC_ITEM_DUMPING,"Er is een wereldwijd tekort aan bepaalde items. Voltooi je persoonlijke doelen voor geweldige beloningen. Je draagt bij tot een wereldwijd, gemeenschappelijk doel zodra je het doel met de kleine wereldbol hebt bereikt! Doe je best!"
TID_ADVANCED_EVENT_TEXT_GENERIC_ITEM_DUMPING_BACONEGGS,"Er is een wereldwijd tekort aan eieren met spek. Voltooi je persoonlijke doelen voor geweldige beloningen. Je draagt bij tot een wereldwijd, gemeenschappelijk doel zodra je het doel met de kleine wereldbol hebt bereikt! Doe je best!"
TID_ADVANCED_EVENT_TITLE_HALLOWEEN,Halloweenseizoen!
TID_ADVANCED_EVENT_TEXT_HALLOWEEN,"De vraag naar pompoentaarten is hoger dan ooit voor de feestdagen. Voltooi je persoonlijke doelen voor geweldige beloningen. Je draagt bij tot een wereldwijd, gemeenschappelijk doel zodra je het doel met de kleine wereldbol hebt bereikt! Vrolijke Halloween!"
TID_ADVANCED_EVENT_NOTIFICATION_HALLOWEEN,Bekijk het nieuwe Halloween-evenement met grote beloningen!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_HALLOWEEN,Wereldwijd evenement
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN,Hoi <NAME>! De stad werd overspoeld met pompoentaarten. Bedankt voor jullie deelname allemaal. We hebben het samen gedaan! Neem deze beloning aan als dank voor jullie bijdrage!
TID_ADVANCED_EVENT_SUCCESS_TITLE_HALLOWEEN,De beste Halloween!
TID_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN,Het barstte van de pompoentaarten in de stad. Samen hebben we voor de beste Halloween aller tijden gezorgd.
TID_ADVANCED_EVENT_FAIL_TITLE_HALLOWEEN,Het is ons niet gelukt...
TID_ADVANCED_EVENT_FAIL_TEXT_HALLOWEEN,"We hebben ons best gedaan, maar sommige gezinnen hebben geen pompoentaarten ontvangen."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_BIRTHDAY2018,Verjaardagsevenement
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY2018,"Hoi, <NAME>! Hay Day wordt zes jaar. Jippie! Neem deze speciale decoratie aan als bedankje voor het spelen van Hay Day en voor je geweldige steun en feedback! Je zult zien dat het een letter is. Speel het verjaardagsevenement om de andere letters te winnen. Laten we van volgend jaar een nóg beter jaar maken!"
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_SUMMER2018,Zomerevenement
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_SUMMER2018,"Hoi <NAME>! Iedereen heel hartelijk bedankt voor jullie deelname aan het speciale zomerevenement. Samen hebben we het voor elkaar gekregen en het was een succes! Alsjeblieft, hier is een beloning voor je bijdrage!"
TID_LOBSTER_TUTORIAL_TITLE,Kreeften vangen
TID_NOTIFICATIONS_SETTINGS_INFO,"Om meldingen te ontvangen, moet je ze activeren via de spelinstellingen > 'Meer instellingen'."
TID_NOTIFICATIONS_SETTINGS_INFO_MOBILE,"Om meldingen te ontvangen, moet je ze activeren via de spelinstellingen > 'Meer instellingen'."
TID_NOTIFICATIONS_SETTINGS_INFO_ANDROID,"Vanaf Android versie 4.1: om meldingen te ontvangen, moet je ze activeren via de spelinstellingen > 'Meer instellingen'."
TID_YOU_HAVE_NOT_REACHED_THRESHOLD,Voltooi meer persoonlijke doelen om aan dit wereldwijde evenement deel te nemen.
TID_EVENT_BOARD_GLOBAL,Wereldwijd doel
TID_EVENT_BOARD_PREVIOUS,Vorig wereldwijd evenement
TID_EVENT_BOARD_PERSONAL,Persoonlijke doelen
TID_CANNOT_PARTICIPATE_IN_EVENT_TITLE,Level te laag
TID_YOU_HAVE_NOT_REACHED_THRESHOLD_TITLE,Deelnemen
TID_NO_EVENT_TITLE,Geen evenement
TID_ADVANCED_EVENT_SUCCESS_FLUFF_GENERIC,Iedereen heeft
TID_ADVANCED_EVENT_FAIL_FLUFF_GENERIC,Gemiste beloning
TID_GOOGLE_PLUS,Google Play
TID_SETTINGS_CONNECT_DEVICE,Koppel een apparaat
TID_CONFIRM_EXIT_TITLE,Afsluiten bevestigen
TID_CONFIRM_EXIT_TEXT,Wil je het spel afsluiten?
TID_CONFIRM_EXIT_BUTTON_OK,Oké
TID_CONFIRM_EXIT_BUTTON_CANCEL,Annuleren
TID_GOOGLE_SERVICE_POPUP_TITLE,Google Play
TID_GOOGLE_SERVICE_POPUP_TEXT_SIGN_IN_CANCELED,Aanmelden bij Google Play geannuleerd.
TID_GOOGLE_SERVICE_POPUP_TEXT_SIGN_IN_FAILED,Aanmelden bij Google Play mislukt.
TID_FACEBOOK_POPUP_TEXT_SIGN_IN_FAILED,Aanmelden bij Facebook mislukt.
TID_ISSUE_TYPE_LOST_FARM,Boerderij verdwenen
TID_ISSUE_DETAILS_GENERIC,Omschrijf hier je probleem...
TID_ISSUE_DETAILS_LOST_FARM,Vertel ons het volgende:\nNaam van de verdwenen boerderij: -\nLevel van de verdwenen boerderij: -\nMeer informatie over hoe je de boerderij bent kwijtgeraakt: -\n
TID_ISSUE_TYPE_RETRIEVE_LOST_FARM,Herstelcode invoeren
TID_SAUCEMIXER,Sauzenmaker
TID_SAUCEMIXER_DESCRIPTION,Produceert sauzen
TID_SAUCEMIXER_PRODUCT_DESCRIPTION,Wordt met de sauzenmaker gemaakt
TID_SALADBAR,Saladebar
TID_SALADBAR_DESCRIPTION,Produceert salades
TID_SALADBAR_PRODUCT_DESCRIPTION,Wordt in de saladebar gemaakt
TID_SUSHIBAR,Sushibar
TID_SUSHIBAR_DESCRIPTION,Produceert sushi
TID_SUSHIBAR_PRODUCT_DESCRIPTION,Wordt in de sushibar gemaakt
TID_PRODUCT_SUSHIROLL,Sushirol
TID_PRODUCT_LOBSTERSUSHI,Sushi met kreeft
TID_PRODUCT_EGGROLL,Sushi met ei
TID_PRODUCT_SOYSAUCE,Sojasaus
TID_PRODUCT_MAYONAISE,Mayonaise
TID_PRODUCT_OLIVEOIL,Olijfolie
TID_PRODUCT_OLIVE,Olijven
TID_PRODUCT_OLIVE_DESCRIPTION,Pluk je van een olijfboom
TID_PRODUCT_OLIVETREE,Olijfboom
TID_PRODUCT_OLIVETREE_DESCRIPTION,Kan drie keer leeggeplukt worden
TID_OLIVE_TREE_FB_HELP_TEXT,Mijn olijfboom heeft dringend water nodig. Kun je me helpen?
TID_PRODUCT_GREEK_SALAD,Fetasalade
TID_PRODUCT_LOBSTER_SALAD,Zeevruchtensalade
TID_PRODUCT_BACON_SALAD,Baconsalade
TID_CROP_LETTUCE,Sla
TID_CROP_RICE,Rijst
TID_RED_SCARF,Rode sjaal
TID_STRAWBERRY_JAM,Aardbeienjam
TID_DECO_CHRISTMAS_SNOWGLOBE,Sneeuwbol
TID_DECO_CHRISTMAS_SNOWGLOBE_DESC,Kerstdecoratie
TID_DECO_CHRISTMAS_LANTERN,Sneeuwballantaarn
TID_DECO_CHRISTMAS_LANTERN_DESC,Kerstdecoratie
TID_DECO_CHRISTMAS_SLEDGE,Slee
TID_DECO_CHRISTMAS_SLEDGE_DESC,Unieke kerstdecoratie
TID_DECO_CHRISTMAS_FENCE_09,Kerstschutting
TID_DECO_CHRISTMAS_FENCE_09_DESC,Kerstdecoratie
TID_DECO_NEWYEAR_TELESCOPE,Gouden telescoop
TID_DECO_NEWYEAR_TELESCOPE_DESC,Unieke nieuwjaars-\ndecoratie
TID_DECO_NEWYEAR_BALLOON,Ballonvarken
TID_DECO_NEWYEAR_BALLOON_DESC,Nieuwjaars-\ndecoratie
TID_RECOVER_LOST_FARM_TITLE,Herstelcode invoeren
TID_RECOVER_LOST_FARM_TEXT,Voer hieronder de code in:
TID_RECOVER_LOST_FARM_ERROR,Onjuiste code. Probeer het opnieuw.
TID_RECOVER_LOST_FARM_CONFIRMATION_TITLE,Boerderij herstellen
TID_RECOVER_LOST_FARM_CONFIRMATION_TEXT,Is dit de boerderij die je wilde herstellen?\nNaam: <NAME>\nLevel: <LEVEL>
TID_RECOVER_LOST_FARM_CONFIRMATION_BUTTON,"Ja, dit is de juiste boerderij!"
TID_SETTINGS_LOGIN,Meld je aan bij Game Center met iOS 7 of hoger om je boerderij op te slaan.\nMeld je aan bij Supercell ID om het spel op verschillende apparaten te spelen.
TID_SETTINGS_LOGIN_ANDROID,Meld je aan bij Google Play om je boerderij op te slaan.\nMeld je aan bij Supercell ID om het spel op verschillende apparaten te spelen.
TID_SETTINGS_LOGIN_CH_ANDROID,"Als je je boerderij wilt opslaan en op verschillende Android-apparaten wilt spelen, meld je je aan bij Google Play."
TID_SETTINGS_LOGIN_CH,"Om je boerderij op te slaan en op verschillende iOS-apparaten te spelen, meld je je aan bij Game Center voordat je het spel start."
TID_FAQ_FAMITSU_BUTTON,Famitsu
TID_CONFIRM_BUTTON_PRESS_TO_LONG,Laat de knop los om te bevestigen
TID_CONFIRM_BUTTON_PRESS_TO_SHORT,Houd de knop ingedrukt om te bevestigen
TID_ADVANCED_EVENT_TITLE_CHRISTMAS,Leve de feestdagen!
TID_ADVANCED_EVENT_TEXT_CHRISTMAS,Producten van echte wol zijn deze Kerst erg in trek. Maak kleding met het weefgetouw en draag binnen de tijd zoveel mogelijk bij. Bereik je persoonlijke doelen voor geweldige beloningen. Je resultaten tellen ook mee voor het wereldwijde communitydoel. Bereik samen met boeren uit de hele wereld het wereldwijde doel. Jullie krijgen allemaal een beloning! Fijne feestdagen!
TID_ADVANCED_EVENT_NOTIFICATION_CHRISTMAS,Bekijk snel het nieuwe feestdagenevenement met fantastische beloningen!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_CHRISTMAS,Wereldwijd evenement
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_CHRISTMAS,"Hoi <NAME>! De stad werd overspoeld met hoogwaardige wollen kleding van boeren uit de hele wereld. Iedereen heel hartelijk bedankt voor jullie deelname aan het wereldwijde evenement. Samen hebben we het voor elkaar gekregen! Alsjeblieft, hier is een beloning voor je bijdrage!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_CHRISTMAS,De feestdagen zijn gered!
TID_ADVANCED_EVENT_SUCCESS_TEXT_CHRISTMAS,"Dank jullie wel, lieve boeren! Door samen te werken heeft onze community deze feestdagen extra bijzonder gemaakt."
TID_ADVANCED_EVENT_TITLE_NEWYEAR,Nieuwjaar!
TID_ADVANCED_EVENT_TEXT_NEWYEAR,Tijdens Nieuwjaar is popcorn erg populair. De vraag rijst de pan uit. Draag binnen de tijd zoveel mogelijk bij. Bereik je persoonlijke doelen voor geweldige beloningen. Je resultaten tellen ook mee voor het wereldwijde communitydoel. Bereik samen met boeren uit de hele wereld het wereldwijde doel. Jullie krijgen allemaal een beloning!
TID_ADVANCED_EVENT_NOTIFICATION_NEWYEAR,Bekijk het nieuwe Nieuwjaarsevenement met fantastische beloningen!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_NEWYEAR,Wereldwijd evenement
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_NEWYEAR,"Hoi <NAME>! De stad werd overspoeld met popcorn van boeren uit de hele wereld. Iedereen heel hartelijk bedankt voor jullie deelname aan het wereldwijde evenement. Samen hebben we het voor elkaar gekregen! Alsjeblieft, hier is een beloning voor je bijdrage!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_NEWYEAR,Gelukkig Nieuwjaar!
TID_ADVANCED_EVENT_SUCCESS_TEXT_NEWYEAR,"Dank jullie wel, lieve boeren! Door samen te werken heeft onze community dit Nieuwjaarsfeest extra bijzonder gemaakt."
TID_NOTIFICATIONS_SETTINGS_TITLE,Meer instellingen
TID_NOTIFICATIONS_SETTINGS_HEADLINE,Geavanceerd
TID_DIAMOND_CONFIRMATION_SETTINGS_HEADLINE,Bevestigen door dubbel te tikken
TID_DIAMOND_CONFIRMATION_SETTINGS_TEXT,Om bevestiging vragen bij het uitgeven van diamanten
TID_SETTINGS_NOTIFICATIONS,Meer instellingen
TID_NOTIFICATION_FISHING_SPOT_COLLECTION_READY,Jouw <NET> kan worden opgehaald!
TID_NOTIFICATION_LURE_COOLDOWN_ENDED,Je kunt vissen op je visplek!
TID_NOTIFICATION_LOBSTER_POOL_HARVEST_READY,Je kreeften kunnen worden geoogst!
TID_NOTIFICATIONS_SETTINGS_LURE_COOLDOWN_ENDED,Meldingen over vissen met kunstaas
TID_NOTIFICATIONS_SETTINGS_FISHING_SPOT_COLLECTION_READY,Meldingen over vissen met netten
TID_NOTIFICATIONS_SETTINGS_LOBSTER_POOL_HARVEST_READY,Meldingen over kreeftenbad
TID_DONKEY_HOUSE,Ezelstal
TID_DONKEY_HOUSE_SHOP_DESCRIPTION,Ruimte voor <CAPACITY> ezels
TID_DONKEY1,Provençaalse ezel
TID_DONKEY2,Anatolische ezel
TID_DONKEY_DESCRIPTION,Voer dit dier om punten te verzamelen
TID_DECO_CHRISTMAS_CAROUSEL_DESC,Kerstdecoratie
TID_DECO_CHRISTMAS_CAROUSEL,Wintercarrousel
TID_GOOGLE_SERVICE_CONNECT_TITLE,Sla je boerderij nu op!
TID_GOOGLE_SERVICE_CONNECT_TEXT,Meld je aan via Google Play om te voorkomen dat je je boerderij kwijtraakt! Op deze manier kun je ook op meerdere Android-apparaten spelen.
