TID,TR
TID_TUTORIAL_26a_MOBILE,Dükkandan çiftliğine sürükleyerek bir yem değirmeni satın al.
TID_TUTORIAL_27_MOBILE,"İşler büyüyor! Tarlaları hasat etmeyi, ekmek pişirmeyi ve yumurta üretmeyi sürdür."
TID_TUTORIAL_28_MOBILE,"Düt düt, teslimat kamyonu geldi! Sürüyle siparişe hazır ol!"
TID_TUTORIAL_29_MOBILE,Sipariş panosu hangi siparişlerin olduğunu gösterir. Bunları yerine ulaştırarak para ve tecrübe kazan.
TID_TUTORIAL_29a_MOBILE,İlk teslimatını yapmak için kamyona veya sipariş panosuna dokun.
TID_TUTORIAL_30_MOBILE,İşte böyle! Teslimat kamyonu kreşe doğru yola koyuldu.
TID_TUTORIAL_30a_MOBILE,Bu kasaba ahalisi çiftlik tazeliğinde ürünlerimize doymak bilmiyor! Şimdi başka bir siparişi tamamla.
TID_TUTORIAL_31_MOBILE,"Bu işi gerçekten kavrıyorsun! Şimdilik, çiftçiliğe ve siparişleri tamamlamaya devam et."
TID_TUTORIAL_36_MOBILE,Möööö! Buralarda bir ineğimiz olmayalı hayli zaman oldu!
TID_TUTORIAL_39_MOBILE,"İneği iyi beslersen, o da sana besleyici süt verir."
TID_TUTORIAL_40_MOBILE,"Yeterli paran olduğunda dükkandan bir mandıra satın al. Mandırada sütü krema, tereyağı ve hatta peynir haline getirebilirsin!"
TID_TUTORIAL_42_MOBILE,"Selam! Ben Mike, kasabanın yakınlarındaki eski değirmeni işletiyorum. Senin bu sevimli çiftliğinin adı ne?"
TID_TUTORIAL_45_MOBILE,"Mekana özen gösteren birisini görmek güzel bir duygu. Hımm, görüşürüz!"
TID_TUTORIAL_46_MOBILE,"Enfes kokular buradan mı geliyor? Ah, kusura bakma kendimi tanıtmayı unuttum. Adım Joan."
TID_TUTORIAL_GUEST1_MOBILE,Bir ziyaretçimiz var! Ne söyleyeceğini görmek için ona dokun!
TID_TUTORIAL_47a_MOBILE,Önce dokunarak örtüyü kaldıralım.
TID_TUTORIAL_48a_MOBILE,"Teslimat kamyonunun ödülünle birlikte geri gelmesini bekle, gelince de ödülünü almak için dokun!"
TID_TUTORIAL_47_MOBILE,"Bak, kreşteki çocuklar sana bir teşekkür notu göndermiş!"
TID_TUTORIAL_48_MOBILE,"Merhaba! Adım Greg, komşuyuz. Alet ihtiyacın olursa mekanıma gel, ne lazımsa ayarlarım!"
TID_TUTORIAL_49_MOBILE,Biraz toprak temizlemek için aletleri kullanabiliriz. Şimdi Greg'in çiftliğini ziyaret et!
TID_TUTORIAL_50_MOBILE,Çiftliğime hoş geldin! Cadde Üzeri Dükkanımda neler sattığıma mutlaka göz atmalısın!
TID_TUTORIAL_51_MOBILE,"Ziyaretin için teşekkürler! Unutma, beni ya da arkadaşlarını istediğin zaman ziyaret edebilirsin!"
TID_TUTORIAL_52_MOBILE,"Vay be, Greg gerçekten çok yardımseverdi. Arkadaş Çubuğundan komşu olarak daha fazla arkadaş ekleyebilirsin."
TID_TUTORIAL_53_MOBILE,İşte Cadde Üzeri Dükkanın. Diğer oyuncuların satın alması için oraya satılık ürünler koyabilirsin.
TID_TUTORIAL_54_MOBILE,"Satmak istediğin ürün miktarına karar verebilir, fiyatı belirleyebilir ve hatta yerel gazetede reklam verebilirsin! Şimdi dene!"
TID_TUTORIAL_56_MOBILE,Selam! Sahip olduğun yeni ekini ekmek için yardıma mı ihtiyacın var? Sana bazı önerilerde bulunabilirim!
TID_TUTORIAL_55_MOBILE,"Gazeteyi posta kutusunda bulabilirsin. Oraya bakarak, diğer insanların neler sattığını görebilirsin."
TID_TUTORIAL_59_MOBILE,Onlar tekne siparişlerini tamamlayarak veya diğer yerlerden alabileceğin toplanabilir öğelerdir! Bir tanesi benden sana hediye...
TID_TUTORIAL_60_MOBILE,Eve dokun ve boş kabı lezzetli bir yemekle doldur!
TID_TUTORIAL_61_MOBILE,Evcil hayvanın uyuyana kadar bekle.
TID_TUTORIAL_66_MOBILE,Daha fazla yere mi ihtiyacın var? Endişelenme! Genişletmeye şimdi başlayabilirsin.
TID_TUTORIAL_67_MOBILE,Belki de eski madeni tamir etmenin zamanı gelmiştir. Kim bilir içinde ne hazineler gizli.
TID_TUTORIAL_68_MOBILE,"Tebrikler, iskeleler tamir edildi! Artık tekne siparişlerini tamamlayabilirsin."
TID_TUTORIAL_70_MOBILE,Yepyeni posta kutunu gördün mü? Sanırım biri geliyor. Islığı duyuyor musun?
TID_TUTORIAL_71_MOBILE,Yaşasın! İlk mektubunu aldın. Posta kutusuna tıklayarak mektubunu aç.
TID_TUTORIAL_73_MOBILE,Nasıl daha fazla mektup alabilirsin? Diğer çiftçilere yardım edersen sana da bir mektup gönderebilirler!
TID_TUTORIAL_74_MOBILE,Ve biraz şansın varsa içinden hediye kartı çıkabilir. Unutma: Postacı her gün bir defa sana gelecek.
TID_TUTORIAL_GUEST6_MOBILE,Neler sattığını görmek için Greg'in Cadde Üzeri Dükkanına dokun!
TID_STORAGE_UPGRADE_DESCRIPTION_MOBILE,Depolama kapasitesini şuna yükselt: <CAPACITY>
TID_EXPANSION_DESCRIPTION_MOBILE,Binaların için daha fazla alan
TID_TUTORIAL_FISHING_14_MOBILE,Geçen gün bir grup ıstakozun soğuk sularda eğlendiğini gördüm. Onlar için küçük ısıtmalı havuzu onaralım mı?
TID_TUTORIAL_64_MOBILE,Selam! Pizzalar konusunda yardım ister misin?
TID_TUTORIAL_FISHING_2_MOBILE,"Tekne hazır, istediğin zaman nehre açılabilirsin!"
TID_TUTORIAL_FISHING_16_MOBILE,Haaarika! Şimdi ıstakoz tuzağı üret ve balık avlama noktalarına koy. Yakalanan ıstakozlar otomatik olarak havuzda görünecek.
TID_TUTORIAL_FISHING_12_MOBILE,"Muhteşem. Artık balık ağı üretebilirsin. Bunları balık avlama noktalarına koy, bekle ve sonra beklemenin karşılığını al."
TID_TUTORIAL_FISHING_13_MOBILE,Ayrıca Gizemli Ağlar da üretebilirsin. Denemen için bir tanesi ücretsiz. Hayal kırıklığına uğramayacaksın.
TID_PLANK_DESCRIPTION_MOBILE,Ağılını yükseltmek için kullan
TID_NAIL_DESCRIPTION_MOBILE,Ambarını yükseltmek için kullan
TID_BOLT_DESCRIPTION_MOBILE,Ağılını yükseltmek için kullan
TID_SCREW_DESCRIPTION_MOBILE,Ambarını yükseltmek için kullan
TID_DUCT_TAPE_DESCRIPTION_MOBILE,Ağılını yükseltmek için kullan
TID_WOOD_PANEL_DESCRIPTION_MOBILE,Ambarını yükseltmek için kullan
TID_DEMOLITION_CHARGE_DESCRIPTION_MOBILE,Büyük bir kayayı parçalamak için kullan
TID_AXE_DESCRIPTION_MOBILE,Küçük bir ağacı kesmek için kullan
TID_BARBECUE_PRODUCT_DESCRIPTION_MOBILE,Barbeküde üret
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION_MOBILE,Dondurma Makinesinde üret
TID_RASPBERRY_DESCRIPTION_MOBILE,Ahududu Çalısından topla
TID_CASH_DESCRIPTION_MOBILE,Çiftliğine ürün ve geliştirme satın al
TID_DIAMONDS_DESCRIPTION_MOBILE,Üretimi artır ve eksik ürünleri satın al
TID_ORDER_SCREEN_SELECT_ORDER_MOBILE,Sol taraftan bir sipariş seç.
TID_PEOPLE_ORDER_GREETING10_MOBILE,Merhaba! Büyükannem için alışveriş yapıyorum.
TID_ABOUT_TEXT_MOBILE,Hay Day (tm) Sürüm <VERSION>\n\nTelif Hakkı 2012-2025 Supercell Oy. Tüm Hakları Saklıdır.\n\nBu yazılımın her türlü kullanımı\nhttps://supercell.com/en/terms-of-service/tr/ adresindeki Hizmet Koşulları ile https://supercell.com/en/privacy-policy/tr/ adresindeki Gizlilik Politikasına tabidir.\n\nHAZIRLAYANLAR\n<CREDITS>\n\n
TID_ACHIEVEMENT_PRETTY_FARMER_DESCRIPTION_MOBILE,Çiftliğini güzelleştirmeye <NUMBER> altın kullan
TID_ACHIEVEMENT_LOCAL_SELLER_DESCRIPTION_MOBILE,Cadde üzeri dükkanındaki satışlarla <NUMBER> altın kazan
TID_ACHIEVEMENT_TURBO_HARVEST_DESCRIPTION_MOBILE,<MINUTES> dakikada <NUMBER> tarlayı hasat et
TID_ACHIEVEMENT_TURBO_CAR_ORDERS_DESCRIPTION_MOBILE,<MINUTES> dakikada <NUMBER> kamyon siparişini teslim et
TID_NEED_MORE_FRIENDS_MOBILE,Açmak için <NUMBER> yeni Supercell ID arkadaşı gerekli!
TID_BOY_FIRST_POPUP_TEXT_MOBILE,Merhaba! Benim adım Tom ve senin için getir götür işleri yapabilirim. Seni cadde üzeri dükkanda bekleyeceğim!
TID_ACHIEVEMENT_GREEN_THUMB_DESCRIPTION_MOBILE,<NUMBER> meyve ağacını veya böğürtlen çalısını canlandır
TID_CAT_DESCRIPTION_MOBILE,Puan toplamak için besle
TID_DOG_DESCRIPTION_MOBILE,Puan toplamak için besle
TID_TUTORIAL_58_MOBILE,Artık hediye çeklerini kullanarak dükkandan evcil hayvan ve daha pek çok harika öğe satın alabilirsin!
TID_VOUCHER1_DESCRIPTION_MOBILE,Dükkandan özel öğe almak için kullanılır.
TID_VOUCHER2_DESCRIPTION_MOBILE,Dükkandan özel öğe almak için kullanılır.
TID_VOUCHER3_DESCRIPTION_MOBILE,Dükkandan özel öğe almak için kullanılır.
TID_VOUCHER4_DESCRIPTION_MOBILE,Dükkandan özel öğe almak için kullanılır.
TID_COFFEE_DESCRIPTION_MOBILE,Kahve Çalısından Topla
TID_COFFEE_BUSH_DESCRIPTION_MOBILE,Üç defa topla
TID_CAFE_DESCRIPTION_MOBILE,Sıcak içecek hazırlar
TID_HOLIDAYTREE_DESCRIPTION_MOBILE,Yılbaşını Kutlayalım
TID_GIFTS_DESCRIPTION_MOBILE,Yılbaşını Kutlayalım
TID_TOYSOLDIER_DESCRIPTION_MOBILE,Yılbaşını Kutlayalım
TID_CANDYPOLE_DESCRIPTION_MOBILE,Yılbaşını Kutlayalım
TID_HOLIDAYFLOWER_DESCRIPTION_MOBILE,Yılbaşını Kutlayalım
TID_SNOWMAN_DESCRIPTION_MOBILE,Yılbaşını Kutlayalım
TID_FROZENPOND_1_DESCRIPTION_MOBILE,Yılbaşını Kutlayalım
TID_FROZENPOND_2_DESCRIPTION_MOBILE,Yılbaşını Kutlayalım
TID_HORSE_DESCRIPTION_MOBILE,Puan toplamak için besle
TID_BIRD_BATH_DESCRIPTION_MOBILE,Kuşları cezbet
TID_NEWSPAPER_FB_PROMO_TEXT_MOBILE,En güncel Hay Day haberleri için!
TID_FISHING_SPOT_UNLOCK_DESCRIPTION_MOBILE,Bu noktada heyecan verici yeni balıklar seni bekliyor.
TID_TUTORIAL_FISHING_5_MOBILE,"Bu, yeni başlayanlar için iyi bir balık avlama noktası. Bir tane yakalamaya çalış. Sabırlı ol ve balığın yemi kapmasını bekle."
TID_TUTORIAL_FISHING_8_MOBILE,Bu tezgah ile yeni yemler yapabilirsin. Kurt yemlerinin üretimi için sadece zaman gerekli ama çoğu balık o yemleri sevmez.
TID_TUTORIAL_FISHING_9_MOBILE,Farklı balıkları çeken özel yemler yapmak için hediye çeklerini kullan. Tamamlandığında tüm yemlerin malzeme kutusunda saklanacak. Bol şans! Ve eğer talimata ihtiyacın olursa bana dokunman yeterli.
TID_REPAIR_MINE_TEXT_MOBILE,"Madende Dinamit, TNT Varili ve Kürekle ürün çıkarabilirsin. Değerli cevherler ve hatta Elmaslar bulabilirsin!"
TID_REPAIR_LOBSTER_POOL_TEXT_MOBILE,"Yakaladığın ıstakozlar, havuzu onardıktan sonra otomatik olarak buraya gelecek!"
TID_TUTORIAL_75_MOBILE,"Ağ üreticisi ve ağlar, balık tutma alanında seni bekliyor. Gidip bir göz at!"
TID_TUTORIAL_76_MOBILE,"Istakoz avlama ve ıstakoz havuzu, balık tutma alanında seni bekliyor. Gidip bir göz at!"
TID_REQUIRES_LOBSTER_POOL_MOBILE,Istakoz Havuzu ve ağ üreticisi gerekiyor.
TID_EVENT_CONTRIBUTE_BUTTON,Katkı Yap
TID_EVENT_CRATE_TEXT,Eklemek için dokun
TID_MASSGIFT_GLOBAL_EVENT_FOOTER_REGARDS,Saygılarımızla
TID_MASSGIFT_GLOBAL_EVENT_FOOTER_MAYOR,Başkan
TID_RATE_APP_MESSAGE_ANDROID,Lütfen bizi Google Play'de değerlendir ki biz de harika oyunlar yapmaya devam edelim!
TID_DECO_HALLOWEEN_TOMBSTONE,Mezar Taşı
TID_DECO_HALLOWEEN_PUMPKINTOTEM,Balkabağı Kürsüsü
TID_DECO_HALLOWEEN_COFFIN,Gizli Tabut
TID_DECO_HALLOWEEN_DEAD_TREE,Örümcek Ağacı
TID_DECO_HALLOWEEN_PUMPKIN,Balkabağı Feneri
TID_DECO_HALLOWEEN_CAULDRON,Şeker Kazanı
TID_DECO_HALLOWEEN_TOMBSTONE_DESC,Cadılar Bayramı süsü
TID_DECO_HALLOWEEN_PUMPKINTOTEM_DESC,Cadılar Bayramı süsü
TID_DECO_HALLOWEEN_COFFIN_DESC,Benzersiz Cadılar Bayramı süsü
TID_DECO_HALLOWEEN_COFFIN_DESC_MOBILE,Benzersiz Cadılar Bayramı süsü
TID_DECO_HALLOWEEN_DEAD_TREE_DESC,Cadılar Bayramı süsü
TID_DECO_HALLOWEEN_PUMPKIN_DESC,Cadılar Bayramı süsü
TID_DECO_HALLOWEEN_CAULDRON_DESC,Cadılar Bayramı süsü
TID_DECO_HALLOWEEN_FENCE_08,Mezarlık Çiti
TID_DECO_HALLOWEEN_FENCE_08_DESC,Cadılar Bayramı süsü
TID_TOP_CONTRIBUTORS,En çok katkı yapanlar
TID_RECENT_CONTRIBUTORS,En son katkı yapanlar
TID_CALENDAR_EVENT_THRESHOLD_REWARD_GAINED,Kişisel etkinlik amacına ulaşıldı!
TID_NOTIFICATIONS_SETTINGS_ORDER_READY,Kamyon Siparişi bildirimleri
TID_NOTIFICATIONS_SETTINGS_ROADSIDE_SHOP,Cadde Üzeri Dükkan bildirimleri
TID_NOTIFICATIONS_SETTINGS_CROPS,Ekin bildirimleri
TID_NOTIFICATIONS_SETTINGS_ANIMALS,Hayvan bildirimleri
TID_NOTIFICATIONS_SETTINGS_CONSTRUCTION_BUILDING,Bina bildirimleri
TID_NOTIFICATIONS_SETTINGS_TOM,Tom bildirimleri
TID_NOTIFICATIONS_SETTINGS_BOAT,Nehir Teknesi bildirimleri
TID_NOTIFICATIONS_SETTINGS_MASTERY_STAR,Ustalık bildirimleri
TID_NOTIFICATIONS_SETTINGS_MISCELLANEOUS,Diğer bildirimler
TID_NOTIFICATIONS_SETTINGS_CALENDAR_EVENT,Etkinlik bildirimleri
TID_CANDY_MACHINE_DESCRIPTION_MOBILE,Şeker üretir
TID_MASTERY_INFO_POPUP_TOOLTIP_COINS_MOBILE,Kamyon siparişlerinde tüm <BUILDING> ürünleri <BONUS> altın değerinde olur.
TID_MASTERY_INFO_POPUP_TOOLTIP_TIME_MOBILE,Tüm <BUILDING> ürünleri <BONUS> daha hızlı üretilir.
TID_TOOLS_OFFER_DESCRIPTION_MOBILE,Bu nadir öğe şimdi %<DISCOUNT> indirimle!
TID_CONFIRM_SPEND_DIAMONDS_DESCRIPTION_MOBILE,Bir sonraki Ustalık yıldızını şimdi satın almak istiyor musun?
TID_BOY_HIRE_OFFER_TEXT_MOBILE,Beni daha önce işe aldığın için teşekkürler. Birkaç dakika içinde beni yeniden işe alırsan sana indirim sağlayacağım.
TID_TUTORIAL_FISHING_3_MOBILE,"Vay be! Bu tekneyi görmeyeli o kadar uzun zaman olmuştu ki! Amcamla çok güzel balık avlama anılarımız vardır o teknede. Sen de bir dene, müptelası olacaksın! Hehe!"
TID_FISH_2_DESCRIPTION_MOBILE,Bahar vaktinde parlak kırmızı bir renk alan büyük bir balık. Kumlu nehir yataklarını sever.
TID_FISH_6_DESCRIPTION_MOBILE,"Bu somonun doyumsuz iştahı, daima yem avında olduğunu göstermektedir."
TID_FISH_7_DESCRIPTION_MOBILE,"Yaygın ve yakalaması kolay olan bu balık, kovalanmanın heyecanını sever."
TID_FISH_13_DESCRIPTION_MOBILE,Gölün bakıcısı! Dipteki artıklarla beslenmeyi ve etrafı temiz tutmayı sever.
TID_FISH_14_DESCRIPTION_MOBILE,Nehir boyunca uzun bir yolculuk yaptıktan sonra yorulan bu balığı yakalaması kolaydır.
TID_FISH_17_DESCRIPTION_MOBILE,"Gölündeki bu kıyı gölü balığının görünümü, ne kadar güzel bir yaşama ortamına sahip olduğunu gösterir."
TID_FISH_19_DESCRIPTION_MOBILE,"Bu balık, farklı türler arasında dostluk kuruyor. Onun bakıcılığını ise yumuşakçalar yapıyor!"
TID_FISH_25_DESCRIPTION_MOBILE,"Hızlı, küçük ve çevik olan bu balığı yakalaması zor olabilir ama kesinlikle buna değer!"
TID_FISH_27_DESCRIPTION_MOBILE,"Uzman böcek avcısı, beklenmedik derecede güçlü. Oltanı sıkı tut!"
TID_FISH_31_DESCRIPTION_MOBILE,Nehirlerde zıplamak yerine rahat bir gölette dinlenmeyi sever.
TID_FISH_36_DESCRIPTION_MOBILE,Parlak pulları ve zarif yüzüşüyle muhteşem bir türdür.
TID_FISH_38_DESCRIPTION_MOBILE,"Bu parlak, ışıltılı ve güzel balık, pullarını göstermeye bayılıyor."
TID_FISH_43_DESCRIPTION_MOBILE,"Soğuk suyu ve toplu yüzmeyi sever. Bu balık, hayatta öne çıkmak istiyor!"
TID_FISH_47_DESCRIPTION_MOBILE,Kırmızı ve sarı renkleriyle daima şık olan bu balığın güvenini hiçbir şey sarsamaz!
TID_FISH_48_DESCRIPTION_MOBILE,"Levreklerin en büyüğü olmasa da, yine de bu balığın havalı bir hali ve yüzgeçleri vardır."
TID_FISH_50_DESCRIPTION_MOBILE,"Gerçek bir öncü olan bu balık, gençliğinden beri yeni göller fethetmenin hayallerini kurmuştur."
TID_FISH_52_DESCRIPTION_MOBILE,İyi kamufle olan bu levreği avlamak çok zordur. Bunu başarabilir misin?
TID_FISH_55_DESCRIPTION_MOBILE,"Bu büyük ve güzel balık, en nadir tatlı su balıklarından biridir. Ona iyi bak!"
TID_FISH_56_DESCRIPTION_MOBILE,Daima diğer balıkların kuyruğunda! Biraz mola versen çok sevinir.
TID_FISH_57_DESCRIPTION_MOBILE,"Bu levrek, koca ağzını ne zaman kapatacağını iyi bilir. Yalnızca en zarif yemleri kullan!"
TID_FISH_59_DESCRIPTION_MOBILE,"Bu otçul balık, basit, sağlıklı bir hayat sürmektedir. İpucu: Kurtları sevmez!"
TID_FISH_62_DESCRIPTION_MOBILE,Küçük ama enerjik. Isırırsa savaşmaya hazır ol!
TID_FISH_63_DESCRIPTION_MOBILE,Balıkçılık dünyasında çok ünlü. Diğer balıkçıların haberi olsaydı gölü istila ederlerdi!
TID_FISH_66_DESCRIPTION_MOBILE,"Gölünde bir Dikenli Ay Balığının olması, akvaryum hayranlarını kıskandıracaktır."
TID_DECO_PICNICMAT_DESCRIPTION_MOBILE,Yaz Keyfi (zamanla sınırlı)
TID_DECO_STATUE_SINGING_DESCRIPTION_MOBILE,Kaliteli Dekor
TID_DECO_STATUE_ET_DESCRIPTION_MOBILE,Kaliteli Dekor
TID_DECO_STATUE_ALICE_DESCRIPTION_MOBILE,Kaliteli Dekor
TID_DECO_STATUE_ROCKY_DESCRIPTION_MOBILE,Kaliteli Dekor
TID_ACHIEVEMENT_BIGGAME_FISHER_DESCRIPTION_MOBILE,Yemlerle toplam <NUMBER> kg balık avla
TID_FISH_100,Akbalık
TID_FISH_100_DESCRIPTION,"Bu dev avcı, senin yemini kapmaya yeminli. Onu yakalarsan diğer balıklar da çok sevinecek!"
TID_FISH_100_DESCRIPTION_MOBILE,"Bu dev avcı, senin yemini kapmaya yeminli. Onu yakalarsan diğer balıklar da çok sevinecek!"
TID_FISH_101,Dev Barbus
TID_FISH_101_DESCRIPTION,"Barbuslara laf etme! Havuzdaki en büyük balık onlardır, mizacı da buna uygun olacak tabii."
TID_FISH_101_DESCRIPTION_MOBILE,"Barbuslara laf etme! Havuzdaki en büyük balık onlardır, mizacı da buna uygun olacak tabii."
TID_FISH_102,Göl Mersini
TID_FISH_102_DESCRIPTION,"Bu büyük balığın derisi çok kalın. İstediğin kadar batır, umurunda bile olmaz!"
TID_FISH_102_DESCRIPTION_MOBILE,"Bu büyük balığın derisi çok kalın. İstediğin kadar batır, umurunda bile olmaz!"
TID_FISH_103,Sazan
TID_FISH_103_DESCRIPTION,"Gölün oyuncak ayısı sanki. Büyük, sevimli, kucaklanası ve hiçbir balığa da zarar vermez."
TID_FISH_103_DESCRIPTION_MOBILE,"Gölün oyuncak ayısı sanki. Büyük, sevimli, kucaklanası ve hiçbir balığa da zarar vermez."
TID_GREG,Greg
TID_TOM,Tom
TID_CALENDAR_EVENT_FISH_WEIGHT,<WEIGHT> kg
TID_ADVANCED_EVENT_NOTIFICATION_GENERIC,Büyük ödüllerle dolu bir etkinlik başladı! Denesene!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_GENERIC,Dünya Etkinliği
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_GENERIC,"Selam <NAME>! Dünya etkinliğine katılan herkese teşekkürler. Bunu hep birlikte başardık ve oldukça başarılı olduk! Lütfen bu ödülü, yaptığın katkılar için bir teşekkür olarak kabul et!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_GENERIC,Başardık!
TID_ADVANCED_EVENT_SUCCESS_TEXT_GENERIC,"Belediye Başkanı, çiftçilerin yaptığı katkı ve müthiş işbirliği nedeniyle YUMURtastik mutlu."
TID_ADVANCED_EVENT_FAIL_TITLE_GENERIC,Başaramadık...
TID_ADVANCED_EVENT_FAIL_TEXT_GENERIC,Ama elimizden geleni yaptık. Bir dahaki sefere başaracağız!
TID_ADVANCED_EVENT_TITLE_GENERIC_CARORDERS,Tedarik sıkıntısı
TID_ADVANCED_EVENT_TEXT_GENERIC_CARORDERS,"İşler yolunda, ama dünyada tedarik sıkıntısı var. Süre dolmadan olabildiğince çok Kamyon Siparişi al! Büyük ödüller kazanmak için kişisel hedeflerine ulaş. Aldığın sonuçlar, topluluğun dünya hedefine de eklenir. Dünyanın dört bir yanındaki çiftçilerle birlik olup dünya hedefine ulaş ve ödüller kazan."
TID_ADVANCED_EVENT_TITLE_GENERIC_VISITORS,Turizm sezonu
TID_ADVANCED_EVENT_TEXT_GENERIC_VISITORS,"Çok sayıda turist, kasabaya ve kırsal bölgelere akın ediyor. Süre dolmadan olabildiğince çok ziyaretçiye satış yap! Büyük ödüller kazanmak için kişisel hedeflerine ulaş. Aldığın sonuçlar, topluluğun dünya hedefine de eklenir. Dünyanın dört bir yanındaki çiftçilerle birlik olup dünya hedefine ulaş ve ödüller kazan."
TID_ADVANCED_EVENT_TITLE_GENERIC_BOAT,Nehir teknesi sezonu
TID_ADVANCED_EVENT_TEXT_GENERIC_BOAT,"Nehirde büyük bir festival var ve tekneler dolusu tedarik malzemesi gerekiyor. Süre dolmadan olabildiğince çok nehir teknesi doldur! Büyük ödüller kazanmak için kişisel hedeflerine ulaş. Aldığın sonuçlar, topluluğun dünya hedefine de eklenir. Dünyanın dört bir yanındaki çiftçilerle birlik olup dünya hedefine ulaş ve ödüller kazan."
TID_ADVANCED_EVENT_TITLE_GENERIC_FISHING,Yemli balık tutma mevsimi
TID_ADVANCED_EVENT_TEXT_GENERIC_FISHING,"Olabildiğince çok toplam ağırlığa sahip balık tutmak için yemlerle balık tut. Ayrıca canavar boyutlarında, mevsime özel bazı balıklar da görüldü. Koleksiyonunu tamamlamak için onları da tutabilir misin? Büyük ödüller kazanmak için kişisel hedeflerine ulaş. Aldığın sonuçlar, topluluğun dünya hedefine de eklenir. Dünyanın dört bir yanındaki çiftçilerle birlik olup dünya hedefine ulaş ve ödüller kazan."
TID_ADVANCED_EVENT_TITLE_GENERIC_ITEM_DUMPING,Yardım gerekiyor!
TID_ADVANCED_EVENT_TEXT_GENERIC_ITEM_DUMPING,"Bazı özel öğelerde küresel çapta sıkıntı var. Büyük ödüller almak için kişisel etkinlik hedeflerini tamamla. Yukarıdaki mavi simge ile belirtilen aşamaya vardığında, katkıların, küresel etkinlik hedefine ulaşmasında topluluğa yardım edecek. Bu işe el at!"
TID_ADVANCED_EVENT_TEXT_GENERIC_ITEM_DUMPING_BACONEGGS,"Pastırmalı Omlette küresel çapta sıkıntı var. Büyük ödüller almak için kişisel etkinlik hedeflerini tamamla. Yukarıdaki mavi simge ile belirtilen aşamaya vardığında, katkıların, küresel etkinlik hedefine ulaşmasında topluluğa yardım edecek. Bu işe el at!"
TID_ADVANCED_EVENT_TITLE_HALLOWEEN,Cadılar Bayramı sezonu!
TID_ADVANCED_EVENT_TEXT_HALLOWEEN,"Balkabaklı Turta talebi, yılbaşına doğru daha da fazla oluyor! Ödüller için kişisel etkinlik hedeflerini tamamla. Yukarıdaki mavi simge ile belirtilen aşamaya vardığında, katkıların, küresel etkinlik hedefine ulaşmasında topluluğa yardım edecek. Cadılar Bayramın kutlu olsun!"
TID_ADVANCED_EVENT_NOTIFICATION_HALLOWEEN,Harika ödüllerle dolu yeni Cadılar Bayramı etkinliğine göz at!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_HALLOWEEN,Dünya Etkinliği
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN,"Selam <NAME>! Kasaba, Balkabaklı Turtalarla dolu. Katılımları için herkese çok teşekkürler. Bunu birlikte başardık! Katkıların için lütfen bu ödülü bir teşekkür mahiyetinde kabul et!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_HALLOWEEN,En iyi Cadılar Bayramı!
TID_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN,"Kasaba, Balkabaklı Turtalarla doldu taştı. Halkımızla birlikte bu Cadılar Bayramını en mükemmel hale getirdik."
TID_ADVANCED_EVENT_FAIL_TITLE_HALLOWEEN,Başaramadık...
TID_ADVANCED_EVENT_FAIL_TEXT_HALLOWEEN,"Elimizden geleni yaptık, ama bazı aileler Balkabaklı Turta alamadı."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_BIRTHDAY2018,Yaş Günü Etkinliği
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_BIRTHDAY2018,Merhaba <NAME>! Özel doğum günü etkinliğimize katılan herkese teşekkür ederiz. Birlikte başardık! Katkıların için lütfen bu ödülü bir teşekkür mahiyetinde kabul et!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_SUMMER2018,Yaz Etkinliği
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_SUMMER2018,"Selam <NAME>! Özel yaz etkinliğine katılan herkese teşekkürler. Bunu hep birlikte başardık ve oldukça başarılı olduk! Lütfen bu ödülü, yaptığın katkılar için bir teşekkür olarak kabul et!"
TID_LOBSTER_TUTORIAL_TITLE,Istakoz nasıl yakalanır
TID_NOTIFICATIONS_SETTINGS_INFO,"Bildirimleri almak için, Ayarlar / Bildirim Merkezi / Hay Day aracılığıyla cihazın Bildirim Merkezinden bu ayarı etkinleştirmen gerek."
TID_NOTIFICATIONS_SETTINGS_INFO_MOBILE,"Bildirimleri almak için, Ayarlar / Bildirim Merkezi / Hay Day aracılığıyla cihazın Bildirim Merkezinden bu ayarı etkinleştirmen gerek."
TID_NOTIFICATIONS_SETTINGS_INFO_ANDROID,"Android 4.1 versiyonundan itibaren, bildirmeleri almak için buradan açman gerek: cihaz Ayarları / Uygulama / Hay Day/ Bildirmeleri Göster"
TID_YOU_HAVE_NOT_REACHED_THRESHOLD,Bu dünya etkinliğine katılmak için daha fazla kişisel etkinlik amacı tamamla.
