TID,VI
TID_DECO_CHRISTMAS_CAROUSEL_DESC,Đồ trang trí Giáng sinh
TID_DECO_CHRISTMAS_CAROUSEL,Trò chơi ngựa gỗ mùa đông
TID_GOOGLE_SERVICE_CONNECT_TITLE,Lưu trang trại của bạn ngay!
TID_GOOGLE_SERVICE_CONNECT_TEXT,"Đăng nhập bằng Google Play để tránh làm mất trang trại! Đồng thời, làm như vậy, bạn cũng có thể chơi trên nhiều thiết bị Android."
TID_GOOGLE_SERVICE_CANCEL_BUTTON,Hủy
TID_SANDWICHBAR,Quầy Sandwich
TID_SANDWICHBAR_DESCRIPTION,Sản xuất bánh sandwich
TID_SANDWICHBAR_PRODUCT_DESCRIPTION,Sản xuất bằng Quầy bánh sandwich
TID_PRODUCT_BLTTOAST,Bánh mì nướng thịt xông khói
TID_PRODUCT_VEGGIEBAGEL,Bánh vòng với rau
TID_PRODUCT_EGGSANDWICH,Bánh sandwich trứng
TID_NEWSPAPER_IG_PROMO_TEXT,Theo dõi chúng tôi trên Instagram!
TID_NEWSPAPER_IG_PROMO_BUBBLE_TEXT,Xin cảm ơn!
TID_ACHIEVEMENT_LOBSTER_TAILS,Người sành tôm hùm
TID_ACHIEVEMENT_LOBSTER_TAILS_DESCRIPTION,Thu hoạch <NUMBER> đuôi tôm hùm
TID_ACHIEVEMENT_LOBSTER_POOL,Tiệc hồ bơi
TID_ACHIEVEMENT_LOBSTER_POOL_DESCRIPTION,Có <NUMBER> con tôm hùm trong hồ cùng một lúc
TID_STAT_FOLLOWERS,Số lượng người theo dõi
TID_EVENT_PAMFLET,Sự kiện mới đã bắt đầu!
TID_RECEIPT_VERIFICATION_MESSAGE_FAIL_TITLE,Xác thực giao dịch thất bại
TID_RECEIPT_VERIFICATION_MESSAGE_FAIL_MESSAGE,Rất tiếc... đã xảy ra sai sót khi xác thực đơn hàng của bạn. Giao dịch của bạn sẽ được tự động thử lại sau.
TID_RECEIPT_VERIFICATION_MESSAGE_FAIL_BUTTON,OK
TID_RECEIPT_VERIFICATION_MESSAGE_INVALID_TITLE,Giao dịch không hợp lệ
TID_RECEIPT_VERIFICATION_MESSAGE_INVALID_MESSAGE,Giao dịch không hợp lệ. Vui lòng liên hệ bộ phận hỗ trợ người chơi và xuất trình hóa đơn để giải quyết vấn đề này.
TID_RECEIPT_VERIFICATION_MESSAGE_INVALID_BUTTON,OK
TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM,Thông báo về Trang trại:
TID_NOTIFICATIONS_SETTINGS_HEADLINE_FISHING,Thông báo về Đánh cá:
TID_IN_APP_PURCHASES_DISABLED_SETTINGS_BUTTON,Cài đặt Android
TID_FACEBOOK_ERROR_RETRY,Đăng nhập Facebook thất bại. Vui lòng thử lại.
TID_FACEBOOK_ERROR_RETRY_LATER,Đăng nhập Facebook thất bại do vấn đề từ máy chủ Facebook. Vui lòng thử lại sau.
TID_FACEBOOK_ERROR_SETTINGS,"Đăng nhập Facebook thất bại. Vui lòng vào phần Cài đặt Thiết bị > Facebook.\nBước 1: Xóa tài khoản của bạn và đăng nhập lại vào Facebook.\nBước 2: Đảm bảo rằng Hay Day đã được kích hoạt trong danh sách \qCho phép các ứng dụng này sử dụng tài khoản của bạn\q.\n(Nếu Hay Day không có trong danh sách này, hãy đăng nhập vào Facebook trong Hay Day trước)"
TID_FACEBOOK_ERROR_SETTINGS_ANDROID,Đăng nhập Facebook thất bại. Vui lòng vào phần Cài đặt Thiết bị > Tài khoản > Facebook.\nBước 1: Xóa tài khoản của bạn và đăng nhập lại vào Facebook.\nBước 2: Quay lại Hay Day và đăng nhập vào Facebook.
TID_FACEBOOK_ERROR_UNKNOWN,"Đăng nhập Facebook thất bại do nguyên nhân không xác định. Vui lòng thử lại. Nếu vẫn không đăng nhập được, vui lòng liên hệ bộ phận Hỗ trợ Người chơi trong trò chơi bằng nút báo cáo sự cố."
TID_NEIGHBORHOOD_TITLE,Khu dân cư
TID_FLOATER_NEIGHBORHOOD_COMING_SOON,Khu dân cư và chức năng trò chuyện được mở khóa ở cấp <LEVEL>
TID_REPAIR_NEIGHBORHOOD_TITLE,Sửa Nhà chung của khu dân cư?
TID_REPAIR_NEIGHBORHOOD_TEXT,Hãy gia nhập hoặc tạo lập khu dân cư để trò chuyện và chơi cùng những người bạn thân nhất.
TID_REPAIR_NEIGHBORHOOD_YES,Bắt đầu sửa chữa
TID_NEIGHBORHOOD,Nhà chung của khu dân cư
TID_FACEBOOK_ERROR_CANCELED,"Đã hủy đăng nhập Facebook. Để có thể sử dụng mọi chức năng Facebook của Hay Day, vui lòng đăng nhập vào Facebook."
TID_STREAM_SENDER_YOU,Bạn (<FARM>)
TID_NEIGHBORHOOD_ROLE_LEADER,Thủ lĩnh
TID_NEIGHBORHOOD_ROLE_COLEADER,Đồng thủ lĩnh
TID_NEIGHBORHOOD_ROLE_ADMIN,Huynh trưởng
TID_NEIGHBORHOOD_ROLE_MEMBER,Thành viên
TID_STREAM_ENTRY_AGE,<time> trước
TID_STREAM_EVENT_ACCEPTED,được chấp nhận vào khu dân cư bởi <name>
TID_STREAM_EVENT_DEMOTED,đã bị <name> giáng chức
TID_STREAM_EVENT_PROMOTED,đã được <name> thăng chức
TID_STREAM_EVENT_JOINED,đã tham gia khu dân cư
TID_STREAM_EVENT_KICKED,đã bị khai trừ khỏi khu dân cư bởi <name>
TID_STREAM_EVENT_LEFT,đã rời khỏi khu dân cư
TID_TIME_DAYS,ng
TID_TIME_HOURS,giờ
TID_TIME_MINS,ph
TID_TIME_SECS,gi
TID_NEIGHBORHOOD_MY_NEIGHBORHOOD,Khu dân cư của tôi
TID_NEIGHBORHOOD_SEARCH,Tìm kiếm
TID_NEIGHBORHOOD_INBOX,Thông báo về khu dân cư
TID_NEIGHBORHOOD_CREATE,Tạo
TID_NEIGHBORHOOD_NAME,Tên khu dân cư:
TID_NEIGHBORHOOD_EMBLEM,Huy hiệu:
TID_NEIGHBORHOOD_DESCRIPTION,Mô tả:
TID_NEIGHBORHOOD_TYPE,Loại khu dân cư:
TID_NEIGHBORHOOD_MIN_LEVEL_TO_JOIN,Cấp độ tối thiểu để tham gia:
TID_NEIGHBORHOOD_CHANGE,Thay đổi
TID_NEIGHBORHOOD_ANYONE_CAN_JOIN,Ai cũng có thể gia nhập
TID_NEIGHBORHOOD_REQUEST_TO_JOIN,Yêu cầu gia nhập
TID_NEIGHBORHOOD_INVITATION_ONLY,Chỉ dành cho người được mời
TID_NEIGHBORHOOD_SEARCH_RESULTS,Hiển thị kết quả tìm kiếm cho \q<name>\q
TID_NEIGHBORHOOD_SEARCH_NO_RESULTS,Không thấy kết quả tìm kiếm.
TID_NEIGHBORHOOD_SEARCH_BUTTON_SEARCH,Tìm kiếm
TID_NEIGHBORHOOD_SEARCH_BUTTON_BACK,Quay lại
TID_NEIGHBORHOOD_SEARCH_INFO,Vui lòng nhập chữ cái đầu tiên của khu dân cư hoặc thẻ mà bạn muốn tìm.
TID_NEIGHBORHOOD_SEARCH_TITLE,Tìm kiếm
TID_NEIGHBORHOOD_PROFANITIES_IN_NAME,Có từ ngữ thô tục trong tên
TID_NEIGHBORHOOD_PROFANITIES_IN_DESCRIPTION,Có từ ngữ thô tục trong mô tả
TID_NEIGHBORHOOD_PROFANITIES_IN_TEXT,Có từ ngữ thô tục trong văn bản
TID_NEIGHBORHOOD_LEAVE,Rời đi
TID_NEIGHBORHOOD_EDIT,Chỉnh sửa
TID_NEIGHBORHOOD_JOIN,Gia nhập
TID_NEIGHBORHOOD_MEMBERS,Thành viên:
TID_NEIGHBORHOOD_TYPE_SHORT,Loại:
TID_NEIGHBORHOOD_REQUIRED_LEVEL,Cấp độ bắt buộc:
TID_NEIGHBORHOOD_SAVE,Lưu
TID_NEIGHBORHOOD_JOIN_FAILED_TITLE,Không thể gia nhập khu dân cư
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_ALREADY_IN_NEIGHBORHOOD,Bạn đã thuộc một khu dân cư rồi.
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_TARGET_ALREADY_IN_NEIGHBORHOOD,Người chơi đã tham gia một khu dân cư rồi.
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_LEVEL_TOO_LOW,Cấp độ của bạn quá thấp đối với khu dân cư này.
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_IS_FULL,Danh sách khu dân cư đã đầy.
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_IS_NOT_OPEN,Loại khu dân cư đã được đổi sang Chỉ dành cho người được mời
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_AVATAR_BANNED,Bạn có thể gia nhập lại khu dân cư này sau <TIME>.
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_GENERIC,Không thể gia nhập khu dân cư này.
TID_NEIGHBORHOOD_LEADER,Thủ lĩnh
TID_NEIGHBORHOOD_LEADER_DESCRIPTION,"Khai trừ, thăng chức, giáng chức, mời và chấp nhận người chơi. Chỉnh sửa Cài đặt"
TID_NEIGHBORHOOD_CO_LEADER,Đồng thủ lĩnh
TID_NEIGHBORHOOD_CO_LEADER_DESCRIPTION,Giống như thủ lĩnh nhưng không thể chỉnh sửa quyền của thủ lĩnh hoặc đồng thủ lĩnh
TID_NEIGHBORHOOD_ADMIN,Huynh trưởng
TID_NEIGHBORHOOD_ADMIN_DESCRIPTION,Mời và chấp nhận người chơi mới vào khu dân cư.
TID_NEIGHBORHOOD_MEMBER,Thành viên
TID_NEIGHBORHOOD_MEMBER_DESCRIPTION,Không có quyền đặc biệt
TID_NATIVE_DIALOG_CHAT_JUST_BANNED_TITLE,Thông báo trò chuyện
TID_NATIVE_DIALOG_CHAT_JUST_BANNED_MESSAGE,Nhiều người chơi khác báo cáo rằng bạn có bình luận không phù hợp. Bạn đã bị khóa trên phòng trò chuyện của khu dân cư.
TID_NATIVE_DIALOG_CHAT_JUST_BANNED_BUTTON,Ok
TID_NATIVE_DIALOG_CHRONOS_CSV_DATA_CHANGED_TITLE,Cập nhật dữ liệu
TID_NATIVE_DIALOG_CHRONOS_CSV_DATA_CHANGED_MESSAGE,"Chúng tôi đã cập nhật một số tính năng, vì vậy bạn cần phải tải lại trò chơi!"
TID_NATIVE_DIALOG_CHRONOS_CSV_DATA_CHANGED_BUTTON,Tải lại trò chơi
TID_FISHING_SPOT_SWAMP,Khu vực đánh cá đầm lầy
TID_STREAM_WARNING,"Đừng chia sẻ bất kỳ thông tin riêng tư nào (email, số điện thoại, địa chỉ, mật khẩu)!"
TID_STREAM_SENDER_SYSTEM,HỆ THỐNG
TID_NEIGHBORHOOD_CHOOSE_SYMBOL,Biểu tượng
TID_NEIGHBORHOOD_CHOOSE_PATTERN,Hoa văn
TID_NEIGHBORHOOD_CHOOSE_BACKGROUND,Phông nền
TID_ADVANCE_SETTINGS_CHAT_HEADLINE,Cài đặt khu dân cư:
TID_ADVANCE_SETTINGS_CHAT_TEXT,Bật/Tắt chức năng trò chuyện khu dân cư
TID_NEIGHBORHOOD_DONE,Hoàn tất
TID_NEIGHBORHOOD_MENU_INFO_BUTTON,Thông tin
TID_NEIGHBORHOOD_MENU_EDIT_BUTTON,Chỉnh sửa
TID_NEIGHBORHOOD_MENU_VISIT_BUTTON,Ghé thăm
TID_NEIGHBORHOOD_MENU_REPORT_BUTTON,Báo cáo
TID_NEIGHBORHOOD_CHAT_PLAYER_REPORTED,Đã báo cáo người chơi!
TID_NEIGHBORHOOD_ACCEPT,Chấp nhận
TID_NEIGHBORHOOD_DECLINE,Từ chối
TID_NEIGHBORHOOD_EDIT_MEMBER_DESCRIPTION,Chỉnh sửa chức danh và quyền của thành viên
TID_NEIGHBORHOOD_KICK_OUT,Khai trừ
TID_NEIGHBORHOOD_ROLE,Vai trò:
TID_NEIGHBORHOOD_CHAT_PLAYER_ALREADY_REPORTED,Bạn đã báo cáo người chơi này rồi!
TID_NEIGHBORHOOD_CHAT_TOO_MANY_REPORTS,Bạn đã vượt hạn mức báo cáo hằng ngày!
TID_CONFIRM_POPUP_REPORT_PLAYER_TITLE,Báo cáo người chơi
TID_CONFIRM_POPUP_REPORT_PLAYER_TEXT,Bạn có chắc bạn muốn báo cáo <NAME> vì đã có hành vi không phù hợp không?
TID_CONFIRM_POPUP_REPORT_PLAYER_BUTTON_CONFIRM,Xác nhận
TID_CONFIRM_POPUP_REPORT_PLAYER_BUTTON_CANCEL,Hủy
TID_CONFIRM_POPUP_INVITE_PLAYER_TITLE,Mời người chơi
TID_CONFIRM_POPUP_INVITE_PLAYER_TEXT,Bạn có chắc bạn muốn mời <NAME> gia nhập khu dân cư của mình không?
TID_CONFIRM_POPUP_INVITE_PLAYER_BUTTON_CONFIRM,Xác nhận
TID_CONFIRM_POPUP_INVITE_PLAYER_BUTTON_CANCEL,Hủy
TID_NEIGHBORHOOD_REQUEST_TO_JOIN_TITLE,Yêu cầu gia nhập
TID_NEIGHBORHOOD_REQUEST_TO_JOIN_DEFAULT_MESSAGE,Xin chào <NEIGHBORHOOD>! Tôi muốn gia nhập khu dân cư của bạn.
TID_NEIGHBORHOOD_REQUEST_TO_JOIN_BUTTON_CONFIRM,Yêu cầu gia nhập
TID_NEIGHBORHOOD_REQUEST_TO_JOIN_BUTTON_CANCEL,Hủy
TID_NEIGHBORHOOD_INVITATION_SENT_OK,Đã gửi thư mời
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NO_RIGHTS,Gửi thư mời thất bại - Bạn không có quyền phù hợp!
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NO_NEIGHBORHOOD_BUILDING,Gửi thư mời thất bại - Người chơi chưa sửa chữa nhà chung của khu dân cư!
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_ALREADY_IN_NEIGHBORHOOD,Gửi thư mời thất bại - Người chơi đã tham gia một khu dân cư!
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_ALREADY_HAS_AN_INVITE,Gửi thư mời thất bại - Bạn đã mời người chơi này rồi!
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_TOO_MANY_INVITES,Gửi thư mời thất bại - Bạn đã gửi quá nhiều thư mời!
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_AVATAR_BANNED,Gửi thư mời thất bại - Người chơi đã bị khai trừ khỏi khu dân cư của bạn trong khoảng thời gian gần đây!
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_GENERIC,Gửi thư mời thất bại!
TID_STREAM_EVENT_REPORTED,đã bị báo cáo
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_REQUEST_ALREADY_SENT,Bạn đã yêu cầu gia nhập khu dân cư này rồi.
TID_NEIGHBORHOOD_ACCEPTED_BY,Được chấp nhận bởi <name>
TID_NEIGHBORHOOD_REJECTED_BY,Bị từ chối bởi <name>
TID_STREAM_EVENT_BANNED_FROM_CHAT,đã bị khóa chức năng trò chuyện trong <TIME> sau khi nhận đủ số lần báo cáo về hành vi không phù hợp khi trò chuyện.
TID_PLAYER_SUPPORT_KNOWLEDGE_BASE,Thêm trợ giúp
TID_FAQ_APPBANK_BUTTON,AppBank
TID_ABOUT_CREDITS,Tác giả
TID_ABOUT_TERMS_OF_SERVICE,Điều khoản Dịch vụ
TID_ABOUT_PRIVACY_POLICY,Chính sách Quyền riêng tư
TID_ABOUT_FACEBOOK,Nhận thông tin mới nhất! Tham gia Hay Day trên Facebook!
TID_ABOUT_TWITTER,Theo dõi Hay Day trên X (tên trước đây là Twitter)! Nhớ gắn thẻ @hayday trong bài viết của bạn nhé!
TID_ABOUT_INSTAGRAM,Tìm hiểu Hay Day trên Instagram! #aMOOzing
TID_ABOUT_WEIBO,Theo dõi Hay Day trên Weibo!
TID_CREDITS_TITLE,Tác giả
TID_NEIGHBORHOOD_BAR_INFO,"Tại đây, bạn sẽ tìm thấy bạn bè trong khu dân cư!"
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NO_NEIGHBORHOOD_NO_RIGHTS,Bạn phải thuộc khu dân cư và có quyền gửi thư mời!
TID_CONFIRM_POPUP_KICK_PLAYER_TITLE,Khai trừ người chơi
TID_CONFIRM_POPUP_KICK_PLAYER_TEXT,Bạn có chắc chắn muốn khai trừ <NAME> khỏi khu dân cư của mình không?
TID_CONFIRM_POPUP_KICK_PLAYER_BUTTON_CONFIRM,Xác nhận
TID_CONFIRM_POPUP_KICK_PLAYER_BUTTON_CANCEL,Hủy
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_TITLE,Rời khỏi khu dân cư
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_TEXT,Bạn có muốn rời khỏi khu dân cư <NAME> không? Bạn không thể tham gia Cuộc đua ngựa nào cho đến tuần sau!
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_BUTTON_CONFIRM,Xác nhận
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_BUTTON_CANCEL,Hủy
TID_CONFIRM_POPUP_PROMOTE_LEADER_TITLE,Thăng chức lên Thủ lĩnh
TID_CONFIRM_POPUP_PROMOTE_LEADER_TEXT,Bạn có muốn thăng chức <NAME> thành Thủ lĩnh mới không? Bạn sẽ bị giáng chức xuống Đồng thủ lĩnh!
TID_CONFIRM_POPUP_PROMOTE_LEADER_BUTTON_CONFIRM,Xác nhận
TID_CONFIRM_POPUP_PROMOTE_LEADER_BUTTON_CANCEL,Hủy
TID_TOP_NEIGHBORHOODS,Khu dân cư hàng đầu
TID_FISH_104,Cá rô sông Nile
TID_FISH_104_DESCRIPTION,"Thứ bạn vừa kéo lên bờ không phải ông già Angus, đó là một con cá có cùng kích thước và hình dạng!"
TID_FISH_104_DESCRIPTION_MOBILE,"Thứ bạn vừa kéo lên bờ không phải ông già Angus, đó là một con cá có cùng kích thước và hình dạng!"
TID_FISH_105,Cá da trơn đuôi đỏ
TID_FISH_105_DESCRIPTION,Loài cá lớn xinh đẹp này rất tham ăn. Bạn có thể mất một hoặc hai mồi câu đấy!
TID_FISH_105_DESCRIPTION_MOBILE,Loài cá lớn xinh đẹp này rất tham ăn. Bạn có thể mất một hoặc hai mồi câu đấy!
TID_FISH_70,Cá da trơn trắng
TID_FISH_70_DESCRIPTION,"Con cá da trơn này là người cha đầy tình yêu thương, chăm sóc những đứa con không mệt mỏi."
TID_FISH_70_DESCRIPTION_MOBILE,"Con cá da trơn này là người cha đầy tình yêu thương, chăm sóc những đứa con không mệt mỏi."
TID_FISH_71,Cá bống biển đen
TID_FISH_71_DESCRIPTION,"Con cú đêm này thích ngủ nướng. Nếu bạn đánh thức, nó sẽ cáu đấy!"
TID_FISH_71_DESCRIPTION_MOBILE,"Con cú đêm này thích ngủ nướng. Nếu bạn đánh thức, nó sẽ cáu đấy!"
TID_FISH_72,Cá vàng
TID_FISH_72_DESCRIPTION,Ngay cả hoàng đế Trung Hoa cổ đại cũng phải sùng kính vẻ đẹp của cá vàng.
TID_FISH_72_DESCRIPTION_MOBILE,Ngay cả hoàng đế Trung Hoa cổ đại cũng phải sùng kính vẻ đẹp của cá vàng.
TID_FISH_73,Cá hồi Sockeye
TID_FISH_73_DESCRIPTION,Loài cá thích cạnh tranh này luôn sẵn sàng tham gia cuộc đua ngược sông.
TID_FISH_73_DESCRIPTION_MOBILE,Loài cá thích cạnh tranh này luôn sẵn sàng tham gia cuộc đua ngược sông.
TID_LEMON_TREE_FB_HELP_TEXT,Cây chanh của tôi đang cần tưới nước gấp. Bạn có thể giúp tôi không?
TID_PRODUCT_LEMON,Chanh
TID_PRODUCT_LEMON_DESCRIPTION,Thu hoạch từ Cây chanh
TID_TREE_LEMONTREE,Cây chanh
TID_TREE_LEMONTREE_DESCRIPTION,Thu hoạch 3 lần
TID_PRODUCT_LEMON_CURD,Xốt chanh
TID_PRODUCT_LEMON_PIE,Bánh vị chanh
TID_PRODUCT_LEMON_CAKE,Bánh kem vị chanh
TID_NEIGHBORHOOD_NAME_TOO_SHORT,Tên quá ngắn
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_AVATAR_LEVEL_TOO_LOW,Cấp độ của người chơi quá thấp nên không thể mời!
TID_TUTORIAL_NEIGHBORHOOD_REPAIR,"Ôi trời, chúng ta có gì ở đây? Hãy sửa chữa nhà chung của khu dân cư để trò chuyện và chơi cùng những người bạn thân nhất!"
TID_TUTORIAL_NEIGHBORHOOD_CREATEJOIN,"Hay quá! Nhà chung đã được sửa chữa! Còn bây giờ, hãy tạo khu dân cư mới hoặc gia nhập một khu sẵn có để chơi và trò chuyện với những người bạn thân nhất!"
TID_TUTORIAL_NEIGHBORHOOD_CHAT,"Chúc mừng bạn đã gia nhập khu dân cư! Hãy thoải mái trò chuyện với bạn bè trong khu dân cư! Bạn có thể trò chuyện về lúa mỳ, ngô, thịt xông khói và trứng, nhưng đừng tỏ ra thô lỗ! (Lưu ý! Nếu bạn muốn, bạn có thể ẩn phần Trò chuyện trong Cài đặt nâng cao)"
TID_TUTORIAL_NEIGHBORHOOD_INVITE,Bạn muốn chơi cùng bạn bè? Bây giờ thì bạn đã có thể làm điều đó! Hãy mời bạn bè hoặc người thân gia nhập khu dân cư của bạn bằng cách nhấn vào nút mời bên trên!
TID_ADVANCED_EVENT_TITLE_VALENTINES,Cuối tuần Lễ tình nhân
TID_ADVANCED_EVENT_TEXT_VALENTINES,Không có cách nào nói \qLời yêu\q tuyệt như món Bánh quy tự làm! Hãy đóng góp càng nhiều càng tốt trước khi hết thời gian! Hãy đạt mục tiêu cá nhân của bạn để giành những phần thưởng tuyệt vời. Kết quả của bạn cũng sẽ đóng góp vào mục tiêu toàn cầu của cộng đồng. Hãy đạt mục tiêu toàn cầu cùng các nông dân trên toàn thế giới và tất cả mọi người đều sẽ được thưởng.
TID_ADVANCED_EVENT_NOTIFICATION_VALENTINES,Hãy xem ngay sự kiện Lễ tình nhân mới với nhiều phần thưởng tuyệt vời!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_VALENTINES,Sự kiện toàn cầu
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_VALENTINES,Xin chào <NAME>! Thị trấn đang tràn ngập Bánh quy tự làm của các nông dân trên toàn thế giới. Tình yêu thực sự luôn ở quanh ta! Cảm ơn tất cả mọi người đã tham gia sự kiện toàn cầu. Chúng ta đã cùng nhau tạo nên kỳ tích này! Hãy nhận phần thưởng này thay cho lời cảm ơn vì những đóng góp của bạn!
TID_ADVANCED_EVENT_SUCCESS_TITLE_VALENTINES,Tất cả những gì bạn cần là tình yêu!
TID_ADVANCED_EVENT_SUCCESS_TEXT_VALENTINES,"Cảm ơn các bạn, những người nông dân! Cùng nhau, cộng đồng chúng ta đã lan tỏa tình yêu và biến ngày Lễ tình nhân này trở thành kỷ niệm đáng nhớ."
TID_NONE,0
TID_NEWSPAPER_YOUTUBE_AD_WHILE_YOU_ARE_AWAY_TEXT,Nhấn để xem ngay!
TID_NEWSPAPER_YOUTUBE_AD_WHILE_YOU_ARE_AWAY_BUBBLE_TEXT,Cảm ơn bạn đã xem.
TID_STREAM_CHAT_DESCRIPTION,Gia nhập một khu dân cư để trò chuyện với mọi người!
TID_TUTORIAL_NEIGHBORHOOD_CREATEJOIN_BUBBLE,Hãy thử xem! Hãy gia nhập hoặc tạo khu dân cư!
TID_TUTORIAL_NEIGHBORHOOD_CHAT_BUBBLE,Ghé thăm bạn bè và mời họ trở thành hàng xóm của bạn!
TID_TUTORIAL_NEIGHBORHOOD_INVITE_BUBBLE,Hãy nhấn nút mời bên trên để mời người bạn này!
TID_TUTORIAL_DIAMOND_CONFIMATION_CHANGE,Chúng tôi đã chỉnh sửa và hoàn thiện cách thức xác nhận chi tiêu kim cương. Chỉ cần nhấn hai lần để xác nhận. Bạn có thể tắt chức năng này trong phần cài đặt nâng cao.
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NOT_FRIEND,Bạn chỉ có thể mời bạn bè trong trò chơi của mình!
TID_NEIGHBORHOOD_INVITATION_SENT_FAILED_NOT_FRIEND_ANDROID,Bạn chỉ có thể mời bạn bè trong trò chơi của mình!
TID_INBOX_INVITATION_TITLE,Mời
TID_INBOX_INVITATION,Bạn đã được mời tham gia khu dân cư này bởi <SENDER>
TID_INBOX_YOU_WHERE_KICKED_TITLE,Đã bị khai trừ
TID_INBOX_YOU_WHERE_KICKED,Bạn đã bị <SENDER> khai trừ ra khỏi khu dân cư
TID_INBOX_JOIN_REQUEST_ACCEPTED_TITLE,Đã được chấp nhận
TID_INBOX_JOIN_REQUEST_ACCEPTED,Yêu cầu gia nhập của bạn đã được <SENDER> chấp nhận
TID_INBOX_JOIN_REQUEST_DENIED_TITLE,Đã bị từ chối
TID_INBOX_JOIN_REQUEST_DENIED,Yêu cầu gia nhập của bạn đã bị <SENDER> từ chối
TID_NEIGHBORHOOD_CHAT,Trò chuyện
TID_CONFIRM_POPUP_LEAVE_NEIGHBORHOOD_DELAY_TEXT,Bạn có muốn rời khỏi khu dân cư <NAME> không? Bạn phải chờ <TIME> rồi mới được tham gia một khu dân cư khác và bạn không thể tham gia Cuộc đua ngựa nào cho đến tuần sau!
TID_DECO_VALENTINES_CUPID,Tượng thần Cupid
TID_DECO_VALENTINES_CUPID_DESCRIPTION,Đồ trang trí Lễ tình nhân độc đáo
TID_NEIGHBORHOOD_JOIN_FAILED_TEXT_AVATAR_JOIN_NOT_ALLOWED_UNTIL,Bạn có thể gia nhập lại khu dân khác sau <TIME>.
TID_NEIGHBORHOOD_JOIN_REQUEST_SENT_OK,Đã gửi yêu cầu
TID_NEIGHBORHOOD_JOIN_FAILED_BUILDING_NOT_REPAIRED,"Trước hết, bạn phải sửa chữa nhà chung của khu dân cư!"
TID_NEIGHBORHOOD_INBOX_STREAM_DISABLED,Bạn chưa nhận được bất kỳ tin nhắn hay thư mời nào. Bạn sẽ tìm thấy thư mời gia nhập khu dân cư từ bạn bè và thư trả lời các yêu cầu gia nhập do bạn gửi đi ở đây.
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE,Đang cập nhật lên phiên bản mới
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE,Chúng tôi đang cập nhật lên phiên bản Hay Day mới trong iOS App Store. Trang trại của bạn sẽ sớm sẵn sàng. Vui lòng kiểm tra lại sau một chút nữa!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON,Ok
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE_ANDROID,Chúng tôi đang cập nhật lên phiên bản Hay Day mới trong Google Play Store. Trang trại của bạn sẽ sớm sẵn sàng. Vui lòng kiểm tra lại sau một chút nữa!
TID_CANNOT_VISIT_INFO_TITLE,Không thể ghé thăm
TID_CANNOT_VISIT_INFO_TEXT,Hiện tại không thể ghé thăm. Vui lòng thử lại sau!
TID_CANNOT_VISIT_INFO_BUTTON,Ok
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,"Rất tiếc, các máy chủ đang được bảo trì. Vui lòng thử lại sau vài giờ nữa."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,"Rất tiếc, các máy chủ đang được bảo trì. Vui lòng thử lại sau vài tiếng."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,"Rất tiếc, các máy chủ đang được bảo trì. Vui lòng thử lại sau khoảng một tiếng rưỡi."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,"Rất tiếc, các máy chủ đang được bảo trì. Vui lòng thử lại sau khoảng một tiếng."
