TID,RU
TID_PRODUCT_FISH_AND_CHIPS,Рыба с картошкой
TID_PRODUCT_CHOCOLATE_POPCORN,Попкорн в шоколаде
TID_DECO_POOLWITHSLIDE,Бассейн с горкой
TID_DECO_PICNICMAT,Подстилка
TID_DECO_STATUE_SINGING,«Песни фермы»
TID_DECO_STATUE_ET,«На велосипеде»
TID_DECO_STATUE_ALICE,«Безумная курица»
TID_DECO_STATUE_ROCKY,«Жеребец»
TID_DECO_POOLWITHSLIDE_DESCRIPTION,Летнее украшение (временное).
TID_DECO_POOLWITHSLIDE_DESCRIPTION_MOBILE,Летнее украшение (временное).
TID_DECO_PICNICMAT_DESCRIPTION,Летнее украшение (временное).
TID_DECO_STATUE_SINGING_DESCRIPTION,Премиум-украшение.
TID_DECO_STATUE_ET_DESCRIPTION,Премиум-украшение.
TID_DECO_STATUE_ALICE_DESCRIPTION,Премиум-украшение.
TID_DECO_STATUE_ROCKY_DESCRIPTION,Премиум-украшение.
TID_EVENT_BOARD,Доска событий
TID_NO_EVENT,В данный момент события недоступны. Новое событие уже скоро! Заходи чаще!
TID_NO_EVENT_MOBILE,В данный момент события недоступны. Новое событие уже скоро! Заходи чаще!
TID_CANNOT_PARTICIPATE_IN_EVENT,Участвовать в этом событии можно с <LEVEL>-го уровня. Играй и повышай уровень.
TID_CANNOT_PARTICIPATE_IN_EVENT_MOBILE,Участвовать в этом событии можно с <LEVEL>-го уровня. Играй и повышай уровень.
TID_EVENT_ENDS_IN,До конца
TID_EVENT_ENDS_IN_MOBILE,До конца
TID_FLOATER_EVENT_BOARD_UNLOCKS,Участвовать в событиях можно с <LEVEL>-го уровня
TID_FLOATER_EVENT_BOARD_UNLOCKS_MOBILE,Участвовать в событиях можно с <LEVEL>-го уровня
TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_ALT_TEXT,"Это туристический сезон, популярность речных пароходов на пике! В ходе события ты получишь в 2 раза больше монет за заполнение ящиков! Также не забывай наведываться к друзьям и помогать им с их пароходами."
TID_FLOATER_VISIT_FISHING_BOAT_UNREPAIRED,Сначала необходимо отремонтировать рыбацкую лодку!
TID_FLOATER_NET_MAKER_CLAIM_BUT_TACKLE_BOX_FULL,Ящик переполнен!
TID_NETMAKER,Вязальщик сетей
TID_NETMAKER_DESCRIPTION,Производит сети.
TID_CONFIRM_REMOVE_FOLLOWER_NO,НЕТ
TID_CONFIRM_REMOVE_FOLLOWER_YES,ДА
TID_CONFIRM_REMOVE_FOLLOWER_TITLE,Удалить подписчика?
TID_CONFIRM_REMOVE_FOLLOWER_TEXT,Действительно НАВСЕГДА удалить игрока <NAME>?\nВнимание: данное действие необратимо!
TID_LOBSTER_POOL,Бассейн для раков
TID_REPAIR_NET_MAKER_TITLE,Отремонтировать?
TID_REPAIR_NET_MAKER_TEXT,"Производит рыбацкие сети, загадочные сети и ловушки для раков, с помощью которых можно поймать все, что плавает в этих водах."
TID_REPAIR_NET_MAKER_TEXT_MOBILE,"Производит рыбацкие сети, загадочные сети и ловушки для раков, с помощью которых можно поймать все, что плавает в этих водах."
TID_REPAIR_NET_MAKER_YES,Начать ремонт
TID_REPAIR_LOBSTER_POOL_TITLE,Отремонтировать?
TID_REPAIR_LOBSTER_POOL_TEXT,"Пойманные тобой раки автоматически переместятся сюда, после того как ты отремонтируешь бассейн!"
TID_REPAIR_LOBSTER_POOL_YES,Начать ремонт
TID_NETMAKER_PRODUCT_DESCRIPTION,Производится на вязальщике сетей.
TID_LOBSTER_TRAP,Ловушка для раков
TID_SOUP_KITCHEN,Суповая кухня
TID_SOUP_KITCHEN_DESCRIPTION,Производит супы.
TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,Производится на суповой кухне.
TID_FISH_SOUP,Уха
TID_TOMATO_SOUP,Томатный суп
TID_LOBSTER_SOUP,Суп из раков
TID_FRUTTI_DI_MARE_PIZZA,Пицца с морепродуктами
TID_LOBSTER,Рак
TID_LOBSTER_POOL_CAPACITY,Объем бассейна: <COUNT>/<MAX>
TID_FISHING_NET,Рыбацкая сеть
TID_MYSTERY_NET,Загадочная сеть
TID_LOBSTER_READY_TO_HARVEST,Пора собирать
TID_FLOATER_NET_FISHING_COMING_SOON,Ловля сетью откроется на <LEVEL>-м уровне.
TID_FLOATER_LOBSTER_FISHING_COMING_SOON,Ловля раков откроется на <LEVEL>-м уровне.
TID_REQUIRES_NET_MAKER,Требуется вязальщик сетей
TID_REQUIRES_LOBSTER_POOL,Требуется бассейн с раками и вязальщик сетей.
TID_DOUBLE_TAP_CONFIRM_DIAMOND_PURCHASE,Прикоснись снова для подтверждения
TID_FLOATER_LOBSTER_POOL_FULL,Бассейн для раков переполнен!
TID_UPGRADE_LOBSTER_POOL_YES,Начать улучшение
TID_UPGRADE_LOBSTER_POOL_TITLE,Улучшить?
TID_UPGRADE_LOBSTER_POOL_TEXT,"Улучши, чтобы получить больше места для раков. Чем больше ты добавишь раков, тем веселее им будет!"
TID_TUTORIAL_DOUBLE_TAP,"Привет, в данный момент мы тестируем систему подтверждения расходования алмазов двумя касаниями. Узнай больше!"
TID_TUTORIAL_HOLDING_DOWN,"Привет, сейчас мы тестируем систему подтверждения траты алмазов. Чтобы потратить алмазы, некоторое время удерживай кнопку нажатой, а затем отпусти ее. Давай попробуем!"
TID_TUTORIAL_FISHING_10,"Слушай, недавно в вещах твоего дядюшки мне попался старый вязальщик сетей. Он сломан, но все равно поможет тебе ловить рыбу. Давай-ка его починим!"
TID_TUTORIAL_FISHING_11,"Прикоснись к вязальщику сетей, чтобы отремонтировать его."
TID_TUTORIAL_FISHING_12,"Фантастика! Теперь ты можешь плести рыбацкие сети. Потом размещай готовые сети в рыбных местах и возвращайся через некоторое время, чтобы забрать улов."
TID_TUTORIAL_FISHING_13,Также ты можешь производить загадочные сети. Вот одна бесплатная на пробу. Ты не разочаруешься.
TID_TUTORIAL_FISHING_14,Недавно у меня на глазах в холодной воде резвилась стайка раков. Давай устроим для них маленький теплый бассейн?
TID_TUTORIAL_FISHING_15,"Прикоснись к бассейну для раков, чтобы отремонтировать его."
TID_TUTORIAL_FISHING_16,Пр-р-рекрасно! Теперь сделай ловушки для раков и размести их в местах клева. Пойманные рачки автоматически появляются в бассейне.
TID_PEARLOFTHESEA,Жемчужина
TID_PEARLOFTHESEA_DESCRIPTION,Украшение для фермы.
TID_LOBSTER_MEAT,Раковая шейка
TID_LOBSTER_MEAT_DESCRIPTION,Находится в рыболовной зоне.
TID_TUTORIAL_FISHING_17,Пойманный тобой рак теперь находится в бассейне.
TID_TUTORIAL_75,Вязальщик сетей и сети разблокированы в твоей рыбной зоне. Узнай больше!
TID_TUTORIAL_76,Ловля раков и бассейн для раков разблокированы в твоей рыбной зоне. Узнай больше!
TID_NEWSPAPER_WB_PROMO_TEXT,Самые свежие новости Hay Day!
TID_NEWSPAPER_WB_PROMO_BUBBLE_TEXT,Спасибо!
TID_FLOATER_LOBSTER_POOL_MAX_RANK,Бассейн на макс. уровне!
TID_CONFIRM_SPEND_DIAMONDS_TO_PRODUCE,Хочешь начать производство (<PRODUCT>)?
TID_FLOATER_LOBSTER_POOL_UPGRADING,Идет обновление бассейна!
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION_MOBILE,Жилище для <CAPACITY> кур.
TID_COW_HABITAT_SHOP_DESCRIPTION_MOBILE,Жилище для <CAPACITY> коров.
TID_PIG_HABITAT_SHOP_DESCRIPTION_MOBILE,Жилище для <CAPACITY> свиней.
TID_GOAT_HABITAT_SHOP_DESCRIPTION_MOBILE,Жилище для <CAPACITY> коз.
TID_POPCORN_POT_DESCRIPTION_MOBILE,Производит попкорн.
TID_ICE_CREAM_MAKER_DESCRIPTION_MOBILE,Изготавливает мороженое.
TID_APPLE_TREE_DESCRIPTION_MOBILE,Дает урожай три раза.
TID_CHERRY_TREE_DESCRIPTION_MOBILE,Дает урожай три раза.
TID_CACAO_TREE_DESCRIPTION_MOBILE,Дает урожай три раза.
TID_RASPBERRY_BUSH_DESCRIPTION_MOBILE,Дает урожай три раза.
TID_BLUEBERRY_BUSH_DESCRIPTION_MOBILE,Дает урожай три раза.
TID_NEED_MORE_POPUP_GENERIC_TEXT_MOBILE,Ты можешь купить недостающие ресурсы и выполнить действие за алмазы.
TID_NEED_MORE_ANIMAL_FOOD_HINT_MOBILE,Производи дополнительный корм для животных с помощью дробилки. Ты также можешь накормить их прямо сейчас за алмазы.
TID_TUTORIAL_01_MOBILE,"Привет! Я - мистер Викер, и я помогу тебе обосноваться на твоей новой ферме!"
TID_TUTORIAL_04_MOBILE,Для роста семян требуется время. При сборе урожая с каждого поля собирается две единицы растения.
TID_TUTORIAL_05a_MOBILE,"Прикоснись к своему дому и покрась его, проводя по нему кистью."
TID_TUTORIAL_06a_MOBILE,Ловко! Было бы неплохо и амбар освежить...
TID_TUTORIAL_10_MOBILE,Здорово! А теперь давай заведем пернатых друзей!
TID_TUTORIAL_10a_MOBILE,Перетяни курицу из магазина в курятник.
TID_TUTORIAL_12a_MOBILE,Как насчет третьей курицы?
TID_TUTORIAL_13a_MOBILE,"Коснись курицы, а затем проведи мешком с кормом по всем курам, чтобы накормить их."
TID_TUTORIAL_14a_MOBILE,"Прикоснись к курице, а затем к кнопке ускорения!"
TID_TUTORIAL_15a_MOBILE,Отлично! Ускорь и вторую курицу.
TID_TUTORIAL_16a_MOBILE,Здорово! Ускорь за компанию и последнюю курицу.
TID_TUTORIAL_17a_MOBILE,"Перетягивай корзину по всем курам, чтобы собрать яйца."
TID_TUTORIAL_20_MOBILE,"Здорово! Как насчет того, чтобы испечь из всей этой пшеницы хлеб в новой пекарне?"
TID_TUTORIAL_21a_MOBILE,Дождись окончания строительства или ускорь его за алмазы.
TID_TUTORIAL_23a_MOBILE,Заверши выпечку мгновенно: коснись кнопки ускорения под изображением хлеба. Какой аромат!
TID_TUTORIAL_24_MOBILE,При повышении уровня тебе становятся доступны новые улучшения. Сейчас в магазине тебя ждут три новых участка!
TID_TUTORIAL_24a_MOBILE,Открой меню магазина и перетяни на ферму три новых участка.
TID_TUTORIAL_25a_MOBILE,"Давай посадим еще семян. Помнишь, как? (Прикоснись к полю!)"
TID_TUTORIAL_26_MOBILE,"Счастливые животные - счастливая ферма! А чтобы твои животные всегда были сыты, построй дробилку!"
TID_TUTORIAL_26a_MOBILE,"Купи дробилку, перетянув ее из магазина на свою ферму."
TID_TUTORIAL_27_MOBILE,Бизнес процветает! Продолжай собирать урожай на полях и яйца на продажу и печь хлеб.
TID_TUTORIAL_28_MOBILE,"Бип-бип, прибыл грузовик доставки! Приготовься к потоку заказов!"
TID_TUTORIAL_29_MOBILE,На доске заказов видны доступные заказы. Зарабатывай деньги и опыт с помощью их доставки.
TID_TUTORIAL_29a_MOBILE,"Прикоснись к грузовику или доске заказов, чтобы выполнить свою первую доставку."
TID_TUTORIAL_30_MOBILE,Поехали! Сейчас грузовик доставки находится на пути в детский сад.
TID_TUTORIAL_30a_MOBILE,Эти горожане просто в восторге от свежих продуктов с нашей фермы! Давай-ка выполним еще один заказ.
TID_TUTORIAL_31_MOBILE,Молодец! Ты быстро учишься! Продолжай в том же духе: веди хозяйство и выполняй заказы.
TID_TUTORIAL_36_MOBILE,Му-у-у! Давненько здесь не было слышно коров!
TID_TUTORIAL_39_MOBILE,Сытая корова дает питательное молоко.
TID_TUTORIAL_40_MOBILE,"Когда у тебя будет достаточно денег, купи в магазине молокозавод. Он может перерабатывать молоко в сливки, масло и даже сыр!"
TID_TUTORIAL_42_MOBILE,"Привет! Я - Майк, владелец старой мельницы рядом с городом. Как называется твоя прекрасная ферма?"
TID_TUTORIAL_45_MOBILE,"Как здорово, что кто-то хорошо распоряжается этой землей. Ладно, увидимся!"
TID_TUTORIAL_46_MOBILE,"Откуда этот чудесный аромат? Ой, прости, я не представилась. Меня зовут Джоан."
TID_TUTORIAL_GUEST1_MOBILE,"У нас посетитель! Прикоснись к нему, чтобы узнать, что он хочет сказать!"
TID_TUTORIAL_47a_MOBILE,"Снимем ткань, прикоснувшись к ней."
TID_TUTORIAL_48a_MOBILE,"Дождись возвращения грузовика доставки вместе с твоей наградой, затем прикоснись к нему, чтобы получить ее!"
TID_TUTORIAL_47_MOBILE,"Глянь-ка, детишки из детского сада прислали тебе благодарственное письмо!"
TID_TUTORIAL_48_MOBILE,"Приветствую! Я - Грег, твой сосед. Если понадобятся инструменты, заходи ко мне домой, с радостью помогу!"
TID_TUTORIAL_49_MOBILE,Мы могли бы воспользоваться инструментами для расчистки участка. Давай-ка посетим ферму Грега!
TID_TUTORIAL_50_MOBILE,Добро пожаловать на мою ферму! Обязательно познакомься с товарами в моем придорожном киоске!
TID_TUTORIAL_51_MOBILE,"Рад был тебя увидеть! Помни, ты можешь заходить ко мне и к своим друзьям в любое время!"
TID_TUTORIAL_52_MOBILE,"Ого, Грег и вправду очень любезен. Ты можешь добавить больше друзей и соседей с панели друзей."
TID_TUTORIAL_53_MOBILE,"Это твой придорожный киоск. Здесь ты можешь выставить на продажу товары, которые смогут купить другие игроки."
TID_TUTORIAL_54_MOBILE,"Теперь ты можешь решать, сколько продукции выставить на продажу, можешь устанавливать цены и даже давать объявления в местную газету! Попробуй!"
TID_TUTORIAL_56_MOBILE,Здравствуй! Тебе нужна помощь с высадкой нового растения? Могу дать парочку советов!
TID_TUTORIAL_55_MOBILE,"У тебя в почтовом ящике свежая газета. Из нее можно узнать, что есть на продажу у других фермеров."
TID_TUTORIAL_59_MOBILE,"Это коллекционные предметы, которые можно получить за заказы на доставку пароходом и в других местах! Это для тебя..."
TID_TUTORIAL_60_MOBILE,Прикоснись к домику и наполни пустую миску вкуснейшей едой!
TID_TUTORIAL_61_MOBILE,"А теперь дождись, пока твои питомцы не вернутся спать."
TID_TUTORIAL_66_MOBILE,Необходимо больше места? Не беспокойся! Можешь начинать расширять ферму сейчас.
TID_TUTORIAL_67_MOBILE,"Возможно, пора отремонтировать старый рудник? Кто знает, какие сокровища в нем таятся."
TID_TUTORIAL_68_MOBILE,"Поздравляем, пристань отремонтирована! Теперь ты сможешь принимать заказы на доставку пароходом."
TID_TUTORIAL_70_MOBILE,"Ты знаешь, что у тебя появился новый блестящий почтовый ящик? Ой, кажется, кто-то идет. Слышишь посвистывание?"
TID_TUTORIAL_71_MOBILE,"Класс! Ты получаешь свое первое письмо. Давай же, открой его, нажав на почтовый ящик."
TID_TUTORIAL_73_MOBILE,"Как получать больше писем? Просто помогай другим фермерам на их фермах, и они пришлют тебе письмо в ответ!"
TID_TUTORIAL_74_MOBILE,"Если тебе хоть немножко повезет, в нем может быть подарочная карта. И помни: почтальон будет посещать тебя раз в день."
TID_TUTORIAL_GUEST6_MOBILE,"Коснись придорожного киоска Грега, чтобы узнать, что он продает!"
TID_STORAGE_UPGRADE_DESCRIPTION_MOBILE,Увеличить вместимость до <CAPACITY>
TID_EXPANSION_DESCRIPTION_MOBILE,Получи больше места для зданий
TID_TUTORIAL_FISHING_14_MOBILE,Недавно у меня на глазах в холодной воде резвилась стайка раков. Давай устроим для них маленький теплый бассейн?
TID_TUTORIAL_64_MOBILE,Привет! Нужна помощь с пиццами?
TID_TUTORIAL_FISHING_2_MOBILE,Она снова плывет! Не стесняйся и отправься на ней вниз по реке.
TID_TUTORIAL_FISHING_16_MOBILE,Пр-р-рекрасно! Теперь сделай ловушки для раков и размести их в местах клева. Пойманные рачки автоматически появляются в бассейне.
TID_TUTORIAL_FISHING_12_MOBILE,"Фантастика! Теперь ты можешь плести рыбацкие сети. Потом размещай готовые сети в рыбных местах и возвращайся через некоторое время, чтобы забрать улов."
TID_TUTORIAL_FISHING_13_MOBILE,Также ты можешь производить загадочные сети. Вот одна бесплатная на пробу. Ты не разочаруешься.
TID_PLANK_DESCRIPTION_MOBILE,Используется для улучшения амбара.
TID_NAIL_DESCRIPTION_MOBILE,Используется для улучшения силосной башни.
TID_BOLT_DESCRIPTION_MOBILE,Используется для улучшения амбара.
TID_SCREW_DESCRIPTION_MOBILE,Используется для улучшения силосной башни.
TID_DUCT_TAPE_DESCRIPTION_MOBILE,Используется для улучшения амбара.
TID_WOOD_PANEL_DESCRIPTION_MOBILE,Используется для улучшения силосной башни.
TID_DEMOLITION_CHARGE_DESCRIPTION_MOBILE,Используется для уничтожения больших камней.
TID_AXE_DESCRIPTION_MOBILE,Используется для вырубки маленьких деревьев.
TID_BARBECUE_PRODUCT_DESCRIPTION_MOBILE,Производится на гриле.
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION_MOBILE,Производится в мороженице.
TID_RASPBERRY_DESCRIPTION_MOBILE,Собирается с куста малины.
TID_CASH_DESCRIPTION_MOBILE,Используются для покупки товаров и улучшений для фермы.
TID_DIAMONDS_DESCRIPTION_MOBILE,Увеличивай объемы производства и покупай недостающие продукты.
TID_ORDER_SCREEN_SELECT_ORDER_MOBILE,Выбери заказ слева.
TID_PEOPLE_ORDER_GREETING10_MOBILE,Привет! Мне нужно кое-что купить для бабули.
TID_ABOUT_TEXT_MOBILE,"Hay Day (tm) версия <VERSION>\n\nАвторские права принадлежат Supercell Oy, 2012–2025 гг. Все права сохранены.\n\nНа любое использование данного программного обеспечения распространяются положения\nУсловий пользования, доступных по адресу https://supercell.com/en/terms-of-service/ru/, и Политики конфиденциальности, доступной по адресу https://supercell.com/en/privacy-policy/ru/.\n\nСОЗДАТЕЛИ\n<CREDITS>\n\n"
TID_ACHIEVEMENT_PRETTY_FARMER_DESCRIPTION_MOBILE,Вложи монеты (<NUMBER>) в украшения для своей фермы.
TID_ACHIEVEMENT_LOCAL_SELLER_DESCRIPTION_MOBILE,Заработай монеты (<NUMBER>) в своем киоске.
TID_ACHIEVEMENT_TURBO_HARVEST_DESCRIPTION_MOBILE,Собери урожай с полей (<NUMBER>) за <MINUTES> мин.
TID_ACHIEVEMENT_TURBO_CAR_ORDERS_DESCRIPTION_MOBILE,Доставь заказы (<NUMBER>) за <MINUTES> мин.
TID_NEED_MORE_FRIENDS_MOBILE,"Чтобы открыть, добавь еще <NUMBER> друзей в Supercell ID!"
TID_BOY_FIRST_POPUP_TEXT_MOBILE,"Привет, меня зовут Том, и я могу выполнять разные поручения. Я подожду у твоего придорожного киоска!"
TID_ACHIEVEMENT_GREEN_THUMB_DESCRIPTION_MOBILE,Оживи фруктовые деревья или ягодные кустарники (<NUMBER>).
TID_CAT_DESCRIPTION_MOBILE,"Накорми, чтобы получить очки."
TID_DOG_DESCRIPTION_MOBILE,"Накорми, чтобы получить очки."
TID_TUTORIAL_58_MOBILE,Теперь ты можешь покупать питомцев и другие крутые товары в магазине с помощью ваучеров!
TID_VOUCHER1_DESCRIPTION_MOBILE,Используй для обмена на особые товары в магазине.
TID_VOUCHER2_DESCRIPTION_MOBILE,Используй для обмена на особые товары в магазине.
TID_VOUCHER3_DESCRIPTION_MOBILE,Используй для обмена на особые товары в магазине.
TID_VOUCHER4_DESCRIPTION_MOBILE,Используй для обмена на особые товары в магазине.
TID_COFFEE_DESCRIPTION_MOBILE,Собираются с кофейного куста.
TID_COFFEE_BUSH_DESCRIPTION_MOBILE,Дает урожай три раза.
TID_CAFE_DESCRIPTION_MOBILE,Производит горячие напитки.
TID_HOLIDAYTREE_DESCRIPTION_MOBILE,Делает праздники ярче.
TID_GIFTS_DESCRIPTION_MOBILE,Делает праздники ярче.
TID_TOYSOLDIER_DESCRIPTION_MOBILE,Делает праздники ярче.
TID_CANDYPOLE_DESCRIPTION_MOBILE,Делает праздники ярче.
TID_HOLIDAYFLOWER_DESCRIPTION_MOBILE,Делает праздники ярче.
TID_SNOWMAN_DESCRIPTION_MOBILE,Делает праздники ярче.
TID_FROZENPOND_1_DESCRIPTION_MOBILE,Делает праздники ярче.
TID_FROZENPOND_2_DESCRIPTION_MOBILE,Делает праздники ярче.
TID_HORSE_DESCRIPTION_MOBILE,"Накорми, чтобы получить очки."
TID_BIRD_BATH_DESCRIPTION_MOBILE,Привлекает птиц.
TID_NEWSPAPER_FB_PROMO_TEXT_MOBILE,Самые свежие новости Hay Day!
TID_FISHING_SPOT_UNLOCK_DESCRIPTION_MOBILE,В этом месте тебя ожидает чудесная новая рыба.
TID_TUTORIAL_FISHING_5_MOBILE,Это хорошее место клева для новичков. Попробуй что-нибудь поймать. Сохраняй терпение и дождись клева.
TID_TUTORIAL_FISHING_8_MOBILE,"Станок позволяет создавать новые приманки. Создание приманки из червей требует времени, но многим рыбам она не нравится."
TID_TUTORIAL_FISHING_9_MOBILE,"Используй ваучеры для создания особых приманок, привлекающих различные виды рыбы. После завершения все твои приманки сохранятся в ящике для снастей. Удачи! И если тебе когда-нибудь понадобятся инструкции, просто прикоснись ко мне."
TID_REPAIR_MINE_TEXT_MOBILE,"В руднике ты можешь добыть полезные ископаемые с помощью динамита, бочки с тротилом и лопаты. Ты можешь найти ценную руду и даже алмазы!"
TID_REPAIR_LOBSTER_POOL_TEXT_MOBILE,"Пойманные тобой раки автоматически переместятся сюда, после того как ты отремонтируешь бассейн!"
TID_TUTORIAL_75_MOBILE,Вязальщик сетей и сети разблокированы в твоей рыбной зоне. Узнай больше!
TID_TUTORIAL_76_MOBILE,Ловля раков и бассейн для раков разблокированы в твоей рыбной зоне. Узнай больше!
TID_REQUIRES_LOBSTER_POOL_MOBILE,Требуется бассейн с раками и вязальщик сетей.
TID_EVENT_CONTRIBUTE_BUTTON,Участвовать
TID_EVENT_CRATE_TEXT,Коснись и добавь
TID_MASSGIFT_GLOBAL_EVENT_FOOTER_REGARDS,"Успехов,"
TID_MASSGIFT_GLOBAL_EVENT_FOOTER_MAYOR,Мэр
TID_RATE_APP_MESSAGE_ANDROID,"Пожалуйста, оцени нас в Google Play, чтобы мы могли и дальше создавать хорошие игры!"
TID_DECO_HALLOWEEN_TOMBSTONE,Надгробие
TID_DECO_HALLOWEEN_PUMPKINTOTEM,Пьедестал с тыквой
TID_DECO_HALLOWEEN_COFFIN,Тайный гроб
TID_DECO_HALLOWEEN_DEAD_TREE,Дерево с пауком
TID_DECO_HALLOWEEN_PUMPKIN,Хеллоуинская тыква
TID_DECO_HALLOWEEN_CAULDRON,Котел со сладостями
TID_DECO_HALLOWEEN_TOMBSTONE_DESC,Хеллоуинское украшение.
TID_DECO_HALLOWEEN_PUMPKINTOTEM_DESC,Хеллоуинское украшение.
TID_DECO_HALLOWEEN_COFFIN_DESC,Специальное хеллоуинское украшение.
TID_DECO_HALLOWEEN_COFFIN_DESC_MOBILE,Специальное хеллоуинское украшение.
TID_DECO_HALLOWEEN_DEAD_TREE_DESC,Хеллоуинское украшение.
TID_DECO_HALLOWEEN_PUMPKIN_DESC,Хеллоуинское украшение.
TID_DECO_HALLOWEEN_CAULDRON_DESC,Хеллоуинское украшение.
TID_DECO_HALLOWEEN_FENCE_08,Ограда кладбища
TID_DECO_HALLOWEEN_FENCE_08_DESC,Хеллоуинское украшение.
TID_TOP_CONTRIBUTORS,Лучшие жертвователи
TID_RECENT_CONTRIBUTORS,Недавно пожертвовавшие
TID_CALENDAR_EVENT_THRESHOLD_REWARD_GAINED,Личная цель достигнута!
TID_NOTIFICATIONS_SETTINGS_ORDER_READY,Уведомления о доставке грузовиком
TID_NOTIFICATIONS_SETTINGS_ROADSIDE_SHOP,Уведомления о придорожном киоске
TID_NOTIFICATIONS_SETTINGS_CROPS,Уведомления о растениях
TID_NOTIFICATIONS_SETTINGS_ANIMALS,Уведомления о животных
TID_NOTIFICATIONS_SETTINGS_CONSTRUCTION_BUILDING,Уведомления о зданиях
TID_NOTIFICATIONS_SETTINGS_TOM,Уведомления о Томе
TID_NOTIFICATIONS_SETTINGS_BOAT,Уведомления о пароходе
TID_NOTIFICATIONS_SETTINGS_MASTERY_STAR,Уведомления о мастерстве
TID_NOTIFICATIONS_SETTINGS_MISCELLANEOUS,Различные уведомления
TID_NOTIFICATIONS_SETTINGS_CALENDAR_EVENT,Уведомления о событиях
TID_CANDY_MACHINE_DESCRIPTION_MOBILE,Производит сладости.
TID_MASTERY_INFO_POPUP_TOOLTIP_COINS_MOBILE,<BUILDING>: вся продукция принесет на <BONUS> больше монет при доставке грузовиком.
TID_MASTERY_INFO_POPUP_TOOLTIP_TIME_MOBILE,<BUILDING>: вся продукция будет производиться на <BONUS> быстрее.
TID_TOOLS_OFFER_DESCRIPTION_MOBILE,Этот редкий товар теперь на <DISCOUNT> % дешевле!
TID_CONFIRM_SPEND_DIAMONDS_DESCRIPTION_MOBILE,Хочешь купить следующую звезду мастерства сейчас?
TID_BOY_HIRE_OFFER_TEXT_MOBILE,"Спасибо, что нанимаешь меня. Я сделаю скидку, если ты наймешь меня повторно на протяжении нескольких последующих минут."
TID_TUTORIAL_FISHING_3_MOBILE,Черт меня дери! Я не видел эту лодку вот уже целую вечность! Я и твой дядюшка в свое время изрядно порыбачили на ней. Тебе тоже стоит попробовать рыбалку - это затягивает! Хе-хе!
TID_FISH_2_DESCRIPTION_MOBILE,"Величественная рыба, приобретающая ярко-красный окрас весной."
TID_FISH_6_DESCRIPTION_MOBILE,Благодаря хорошему аппетиту кижуч всегда готов попасться на приманку.
TID_FISH_7_DESCRIPTION_MOBILE,"Широко распространенная рыба, легко попадается на крючок, обожает восторг от погони."
TID_FISH_13_DESCRIPTION_MOBILE,Санитар озера. Обожает плавать у дна и поддерживает там чистоту.
TID_FISH_14_DESCRIPTION_MOBILE,После длительного путешествия вверх по реке готова сбавить обороты.
TID_FISH_17_DESCRIPTION_MOBILE,"Появление этой рыбы означает, что для нее созданы великолепные условия."
TID_FISH_19_DESCRIPTION_MOBILE,Заводит дружбу с другими видами рыб. Вместо няньки у нее моллюск!
TID_FISH_25_DESCRIPTION_MOBILE,"Быстрая, маленькая и выносливая. Эту рыбу, быть может, и тяжело поймать, но оно того стоит!"
TID_FISH_27_DESCRIPTION_MOBILE,"Мастер охоты на насекомых, очень силен. Держи удочку крепче!"
TID_FISH_31_DESCRIPTION_MOBILE,Предпочитает спокойный пруд стремительной реке.
TID_FISH_36_DESCRIPTION_MOBILE,Великолепный и грациозный экземпляр со сверкающей чешуей.
TID_FISH_38_DESCRIPTION_MOBILE,"Мерцающая, гладкая и прекрасная, эта рыба любит блеснуть своей чешуей."
TID_FISH_43_DESCRIPTION_MOBILE,Обожает прохладную воду и плаванье в косяках. Эта рыба хочет быть впереди всех!
TID_FISH_47_DESCRIPTION_MOBILE,Красный и золотой всегда в моде. Ничто не пошатнет ее уверенность в себе!
TID_FISH_48_DESCRIPTION_MOBILE,Не самая крупная рыбка в дополнение к эффектным плавникам обладает всеми повадками рок-звезды.
TID_FISH_50_DESCRIPTION_MOBILE,Настоящий первопроходец. Эта рыба с самых младых плавников мечтала о покорении новых озер.
TID_FISH_52_DESCRIPTION_MOBILE,"Эта рыбка умеет отлично прятаться, но зато станет особо ценным уловом. Сможешь приманить ее?"
TID_FISH_55_DESCRIPTION_MOBILE,Одна из редчайших находок в пресных водах. Хорошенько заботься о ней!
TID_FISH_56_DESCRIPTION_MOBILE,"Всегда на хвосте у других рыб! Они отблагодарят, если ты дашь им возможность передохнуть."
TID_FISH_57_DESCRIPTION_MOBILE,"Знает, когда следует держать свой рот на замке. Используй лишь изысканные приманки!"
TID_FISH_59_DESCRIPTION_MOBILE,Эта рыба ведет простой и здоровый образ жизни. Подсказка: она не любит червей!
TID_FISH_62_DESCRIPTION_MOBILE,"Мелкая, но вздорная. Если клюнет, приготовься к бою!"
TID_FISH_63_DESCRIPTION_MOBILE,"Звезда в мире рыбалки. Если бы о ней узнали другие рыбаки, тут негде было бы и яблоку упасть!"
TID_FISH_66_DESCRIPTION_MOBILE,Его присутствие в твоем озере станет предметом зависти аквариумистов.
TID_DECO_PICNICMAT_DESCRIPTION_MOBILE,Летнее украшение (временное).
