TID,TH
TID_DECO_STATUE_SINGING,ร้องรำทำฟาร์ม
TID_DECO_STATUE_ET,จักรยานขี่ไป
TID_DECO_STATUE_ALICE,ไก่เสียสติ
TID_DECO_STATUE_ROCKY,อาชา
TID_DECO_POOLWITHSLIDE_DESCRIPTION,สนุกกับฤดูร้อน (จำกัดเวลา)
TID_DECO_POOLWITHSLIDE_DESCRIPTION_MOBILE,สนุกกับฤดูร้อน (จำกัดเวลา)
TID_DECO_PICNICMAT_DESCRIPTION,สนุกกับฤดูร้อน (จำกัดเวลา)
TID_DECO_STATUE_SINGING_DESCRIPTION,ของตกแต่งระดับพรีเมียม
TID_DECO_STATUE_ET_DESCRIPTION,ของตกแต่งระดับพรีเมียม
TID_DECO_STATUE_ALICE_DESCRIPTION,ของตกแต่งระดับพรีเมียม
TID_DECO_STATUE_ROCKY_DESCRIPTION,ของตกแต่งระดับพรีเมียม
TID_EVENT_BOARD,กระดานอีเวนท์
TID_NO_EVENT,ไม่มีอีเวนท์ ณ ขณะนี้ อีเวนท์ใหม่จะมาเร็วๆ นี้ ดังนั้นโปรดกลับมาดูเป็นระยะ!
TID_NO_EVENT_MOBILE,ไม่มีอีเวนท์ ณ ขณะนี้ อีเวนท์ใหม่จะมาเร็วๆ นี้ ดังนั้นโปรดกลับมาดูเป็นระยะ!
TID_CANNOT_PARTICIPATE_IN_EVENT,คุณต้องถึงเลเวล <LEVEL> จึงจะเข้าร่วมอีเวนท์นี้ได้ เล่นต่อไปเรื่อยๆ เพื่อเพิ่มเลเวล
TID_CANNOT_PARTICIPATE_IN_EVENT_MOBILE,คุณต้องถึงเลเวล <LEVEL> จึงจะเข้าร่วมอีเวนท์นี้ได้ เล่นต่อไปเรื่อยๆ เพื่อเพิ่มเลเวล
TID_EVENT_ENDS_IN,เวลาที่เหลือ:
TID_EVENT_ENDS_IN_MOBILE,เวลาที่เหลือ:
TID_FLOATER_EVENT_BOARD_UNLOCKS,คุณสามารถเข้าร่วมอีเวนท์นี้ได้ตั้งแต่เลเวล <LEVEL> เป็นต้นไป
TID_FLOATER_EVENT_BOARD_UNLOCKS_MOBILE,คุณสามารถเข้าร่วมอีเวนท์นี้ได้ตั้งแต่เลเวล <LEVEL> เป็นต้นไป
TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_ALT_TEXT,นี่คือฤดูเรือล่องแม่น้ำ และการท่องเที่ยวก็กำลังอยู่ในช่วงสูงสุด! ในช่วงอีเวนท์นี้ คุณจะได้รับเหรียญสองเท่าจากการเติมลัง! อย่าลืมไปเยี่ยมเพื่อนๆ แล้วช่วยเรือของพวกเขาด้วยนะ
TID_FLOATER_VISIT_FISHING_BOAT_UNREPAIRED,ต้องซ่อมเรือหาปลาก่อน!
TID_FLOATER_NET_MAKER_CLAIM_BUT_TACKLE_BOX_FULL,กล่องอุปกรณ์หาปลาเต็มแล้ว!
TID_NETMAKER,เครื่องทำตาข่าย
TID_NETMAKER_DESCRIPTION,ผลิตตาข่าย
TID_CONFIRM_REMOVE_FOLLOWER_NO,ไม่
TID_CONFIRM_REMOVE_FOLLOWER_YES,ใช่
TID_CONFIRM_REMOVE_FOLLOWER_TITLE,ลบผู้ติดตามหรือไม่?
TID_CONFIRM_REMOVE_FOLLOWER_TEXT,แน่ใจหรือไม่ว่าต้องการลบ <NAME> อย่างถาวร?\nคำเตือน: การกระทำนี้ย้อนกลับไม่ได้!
TID_LOBSTER_POOL,บ่อลอบสเตอร์
TID_REPAIR_NET_MAKER_TITLE,ซ่อมเครื่องทำตาข่ายหรือไม่?
TID_REPAIR_NET_MAKER_TEXT,ผลิตตาข่าย ตาข่ายปริศนา และกับดักลอบสเตอร์เพื่อจับทุกอย่างที่อยู่ในน้ำ
TID_REPAIR_NET_MAKER_TEXT_MOBILE,ผลิตตาข่าย ตาข่ายปริศนา และกับดักลอบสเตอร์เพื่อจับทุกอย่างที่อยู่ในน้ำ
TID_REPAIR_NET_MAKER_YES,เริ่มซ่อม
TID_REPAIR_LOBSTER_POOL_TITLE,ซ่อมบ่อลอบสเตอร์หรือไม่?
TID_REPAIR_LOBSTER_POOL_TEXT,ลอบสเตอร์ที่คุณจับจะย้ายมาอยู่ในนี้อัตโนมัติเมื่อคุณซ่อมบ่อ!
TID_REPAIR_LOBSTER_POOL_YES,เริ่มซ่อม
TID_NETMAKER_PRODUCT_DESCRIPTION,ผลิตในเครื่องทำตาข่าย
TID_LOBSTER_TRAP,กับดักลอบสเตอร์
TID_SOUP_KITCHEN,ครัวซุป
TID_SOUP_KITCHEN_DESCRIPTION,ผลิตซุป
TID_SOUP_KITCHEN_PRODUCT_DESCRIPTION,ผลิตในครัวซุป
TID_FISH_SOUP,ซุปปลา
TID_TOMATO_SOUP,ซุปมะเขือเทศ
TID_LOBSTER_SOUP,ซุปลอบสเตอร์
TID_FRUTTI_DI_MARE_PIZZA,พิซซ่าทะเล
TID_LOBSTER,ลอบสเตอร์
TID_LOBSTER_POOL_CAPACITY,ความจุบ่อลอบสเตอร์: <COUNT>/<MAX>
TID_FISHING_NET,ตาข่ายจับปลา
TID_MYSTERY_NET,ตาข่ายปริศนา
TID_LOBSTER_READY_TO_HARVEST,พร้อมเก็บแล้ว
TID_FLOATER_NET_FISHING_COMING_SOON,การจับปลาด้วยตาข่ายปลดล็อคเมื่อถึงเลเวล <LEVEL>
TID_FLOATER_LOBSTER_FISHING_COMING_SOON,การจับลอบสเตอร์ปลดล็อคเมื่อถึงเลเวล <LEVEL>
TID_REQUIRES_NET_MAKER,ต้องใช้เครื่องทำตาข่าย
TID_REQUIRES_LOBSTER_POOL,ต้องใช้บ่อลอบสเตอร์และเครื่องทำตาข่าย
TID_DOUBLE_TAP_CONFIRM_DIAMOND_PURCHASE,แตะอีกครั้งเพื่อยืนยัน
TID_FLOATER_LOBSTER_POOL_FULL,บ่อลอบสเตอร์เต็มแล้ว!
TID_UPGRADE_LOBSTER_POOL_YES,เริ่มอัปเกรด
TID_UPGRADE_LOBSTER_POOL_TITLE,อัปเกรดบ่อลอบสเตอร์หรือไม่?
TID_UPGRADE_LOBSTER_POOL_TEXT,อัปเกรดเพื่อเพิ่มพื้นที่แก่ลอบสเตอร์ ยิ่งใส่ลอบสเตอร์มากเท่าไหร่ พวกมันก็ยิ่งเฮฮากันเท่านั้น!
TID_TUTORIAL_DOUBLE_TAP,สวัสดี เรากำลังทดสอบการยืนยันการใช้เพชรแบบแตะสองครั้ง ลองดูสิ!
TID_TUTORIAL_HOLDING_DOWN,สวัสดี เรากำลังทดสอบการยืนยันการใช้เพชร เพียงแค่แตะปุ่มค้างไว้สักครู่ แล้วก็ปล่อยเพื่อใช้เพชร ลองดูสิ!
TID_TUTORIAL_FISHING_10,อะฮ่อย! ฉันไปคุ้ยของเก่าๆ ของลุงเธอ แล้วก็เจอเครื่องทำตาข่ายเก่านี่ มันพังหน่อยนะ แต่จะช่วยเธอจับปลาได้เยอะเลย ซ่อมมันดีกว่า!
TID_TUTORIAL_FISHING_11,แตะเครื่องทำตาข่ายเพื่อซ่อม
TID_TUTORIAL_FISHING_12,เยี่ยมมาก ตอนนี้เธอก็ทำตาข่ายได้แล้ว แค่เหวี่ยงตาข่ายไว้ในจุดหาปลา รอ แล้วก็กลับมารับทรัพย์
TID_TUTORIAL_FISHING_13,ใช้ผลิตตาข่ายปริศนาได้ด้วยนะ มีให้ลองฟรีๆ หนึ่งอันตรงนี้ รับรองไม่ผิดหวัง
TID_TUTORIAL_FISHING_14,ฉันเห็นฝูงลอบสเตอร์สนุกกันใหญ่ในน้ำเย็นๆ เมื่อวันก่อน เราซ่อมบ่อน้ำอุ่นเล็กๆ ให้พวกมันกันดีไหม?
TID_TUTORIAL_FISHING_15,แตะบ่อลอบสเตอร์เพื่อซ่อม
TID_TUTORIAL_FISHING_16,เยี่ยมมม! คราวนี้ก็ผลิตกับดักลอบสเตอร์แล้วก็วางมันลงในจุดหาปลา\nลอบสเตอร์ที่จับได้จะไปปรากฏในบ่อโดยอัตโนมัติ
TID_PEARLOFTHESEA,ไข่มุกทะเล
TID_PEARLOFTHESEA_DESCRIPTION,ตกแต่งฟาร์มของคุณ
TID_LOBSTER_MEAT,หางลอบสเตอร์
TID_LOBSTER_MEAT_DESCRIPTION,จับในบริเวณหาปลา
TID_TUTORIAL_FISHING_17,ลอบสเตอร์ที่คุณจับได้ลงไปอยู่ในบ่อแล้ว
TID_TUTORIAL_75,เครื่องทำตาข่ายและตาข่ายปลดล็อคแล้วในบริเวณหาปลาของคุณ ไปดูสิ
TID_TUTORIAL_76,การตกลอบสเตอร์และบ่อลอบสเตอร์ปลดล็อคแล้วในบริเวณหาปลาของคุณ ไปดูสิ
TID_NEWSPAPER_WB_PROMO_TEXT,สำหรับข่าวล่าสุดของ Hay Day!
TID_NEWSPAPER_WB_PROMO_BUBBLE_TEXT,ขอบคุณ!
TID_FLOATER_LOBSTER_POOL_MAX_RANK,บ่อลอบสเตอร์ได้ถึงเลเวลสูงสุดแล้ว!
TID_CONFIRM_SPEND_DIAMONDS_TO_PRODUCE,ต้องการเริ่มผลิต <PRODUCT> หรือไม่
TID_FLOATER_LOBSTER_POOL_UPGRADING,กำลังดำเนินการอัปเกรดบ่อลอบสเตอร์อยู่!
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION_MOBILE,ใส่ไก่ได้ <CAPACITY> ตัว
TID_COW_HABITAT_SHOP_DESCRIPTION_MOBILE,ใส่วัวได้ <CAPACITY> ตัว
TID_PIG_HABITAT_SHOP_DESCRIPTION_MOBILE,ใส่หมูได้ <CAPACITY> ตัว
TID_GOAT_HABITAT_SHOP_DESCRIPTION_MOBILE,ใส่แพะได้ <CAPACITY> ตัว
TID_POPCORN_POT_DESCRIPTION_MOBILE,ผลิตป๊อปคอร์น
TID_ICE_CREAM_MAKER_DESCRIPTION_MOBILE,ทำไอศกรีม
TID_APPLE_TREE_DESCRIPTION_MOBILE,เก็บได้สามครั้ง
TID_CHERRY_TREE_DESCRIPTION_MOBILE,เก็บได้สามครั้ง
TID_CACAO_TREE_DESCRIPTION_MOBILE,เก็บได้สามครั้ง
TID_RASPBERRY_BUSH_DESCRIPTION_MOBILE,เก็บได้สามครั้ง
TID_BLUEBERRY_BUSH_DESCRIPTION_MOBILE,เก็บได้สามครั้ง
TID_NEED_MORE_POPUP_GENERIC_TEXT_MOBILE,หาวัตถุดิบที่ขาดไปและดำเนินการต่อโดยใช้เพชร
TID_NEED_MORE_ANIMAL_FOOD_HINT_MOBILE,ทำอาหารสัตว์เพิ่มด้วยเครื่องบดอาหารสัตว์ หรือให้อาหารได้ทันทีด้วยเพชร
TID_TUTORIAL_01_MOBILE,หวัดดี! ผมคือนายหุ่นไล่กา มาเพื่อช่วยคุณเริ่มทำฟาร์มใหม่ของคุณ!
TID_TUTORIAL_04_MOBILE,เมล็ดพืชต้องการเวลาให้เติบโต เมื่อเก็บเกี่ยวแล้ว แต่ละแปลงจะให้พืชผลสองหน่วย
TID_TUTORIAL_05a_MOBILE,แตะบ้านของคุณแล้วทาสีด้วยการลากแปรงบนบ้าน
TID_TUTORIAL_06a_MOBILE,เยี่ยม! ทาสีโรงนาด้วยสิ...
TID_TUTORIAL_10_MOBILE,ดีมาก! เอาละ เชิญเพื่อนกะต๊ากมาร่วมวงดีกว่า!
TID_TUTORIAL_10a_MOBILE,ลากไก่มาจากร้านค้าไปยังเล้าไก่
TID_TUTORIAL_12a_MOBILE,ซื้อไก่ตัวที่สามเพิ่มเป็นไง?
TID_TUTORIAL_13a_MOBILE,แตะไก่แล้วลากถุงอาหารผ่านตัวไก่เพื่อให้อาหาร
TID_TUTORIAL_14a_MOBILE,แตะไก่ จากนั้นก็แตะปุ่มเร่ง!
TID_TUTORIAL_15a_MOBILE,เยี่ยมจริง! เร่งไก่อีกตัวด้วยสิ
TID_TUTORIAL_16a_MOBILE,เยี่ยมยอด! คราวนี้ก็เร่งไก่ตัวสุดท้ายเลย
TID_TUTORIAL_17a_MOBILE,ลากตะกร้าผ่านตัวไก่ทั้งหมดเพื่อเก็บไข่
TID_TUTORIAL_20_MOBILE,เลิศ! ลองเปลี่ยนข้าวสาลีพวกนี้ให้กลายเป็นขนมปังด้วยเตาอบใหม่ดูสิ
TID_TUTORIAL_21a_MOBILE,รอจนกว่าจะสร้างเสร็จหรือเร่งด้วยเพชร
TID_TUTORIAL_23a_MOBILE,อบเสร็จทันทีด้วยการแตะปุ่มเร่งข้างใต้ขนมปัง หอมจัง!
TID_TUTORIAL_24_MOBILE,เมื่อคุณขึ้นเลเวลใหม่ คุณจะปลดล็อคการปรับปรุงเพิ่มเติม ณ ตอนนี้ก็มีแปลงใหม่สามแปลงรอคุณอยู่ในร้านค้า!
TID_TUTORIAL_24a_MOBILE,เปิดเมนูร้านค้าแล้วลากแปลงใหม่สามแปลงลงมาบนที่ดินของคุณ
TID_TUTORIAL_25a_MOBILE,เพาะเมล็ดพืชเพิ่มดีกว่า จำได้ไหมว่าทำยังไง? (แตะที่แปลง!)
TID_TUTORIAL_26_MOBILE,สัตว์แฮปปี้ฟาร์มก็มีสุข สร้างเครื่องบดอาหารสัตว์เพื่อให้สัตว์ของคุณไม่ต้องทนหิว!
TID_TUTORIAL_26a_MOBILE,ซื้อเครื่องบดอาหารสัตว์โดยการลากมันจากร้านค้าไปยังที่ดินของคุณ
TID_TUTORIAL_27_MOBILE,ธุรกิจกำลังเติบโต! เก็บเกี่ยวพืชผล อบขนมปัง และผลิตไข่มาขายเรื่อยๆ นะ
TID_TUTORIAL_28_MOBILE,ปรื๊น ปรื๊น รถกระบะส่งของมาแล้ว! เตรียมรับคำสั่งซื้อเป็นกระบุงได้เลย!
TID_TUTORIAL_29_MOBILE,กระดานคำสั่งซื้อจะแสดงว่ามีคำสั่งซื้ออะไรบ้าง หาเงินและรับประสบการณ์จากการส่งของตามคำสั่งซื้อ
TID_TUTORIAL_29a_MOBILE,แตะรถกระบะหรือกระดานคำสั่งซื้อเพื่อเริ่มส่งของครั้งแรก
TID_TUTORIAL_30_MOBILE,รถออกไปแล้ว! ตอนนี้รถกระบะส่งของกำลังไปยังโรงเรียนอนุบาล
TID_TUTORIAL_30a_MOBILE,ชาวบ้านร้านตลาดอยากได้ผลผลิตสดใหม่จากฟาร์มของเราเพิ่มอีกเรื่อยๆ เลยนะ! ส่งของตามคำสั่งซื้ออีกใบดีกว่า
TID_TUTORIAL_31_MOBILE,เริ่มเข้าที่เข้าทางแล้วสินะ! สำหรับตอนนี้ ขอให้ทำฟาร์มและส่งของให้ครบตามคำสั่งซื้อต่อไป
TID_TUTORIAL_36_MOBILE,มออออ! ไม่ได้มีวัวอยู่แถวนี้มานานแล้วนะ!
TID_TUTORIAL_39_MOBILE,วัวที่ได้กินอิ่มจะให้นมเปี่ยมคุณค่าทางสารอาหารสำหรับให้คุณเก็บไป
TID_TUTORIAL_40_MOBILE,เมื่อมีเงินมากพอ ให้ซื้อโรงนมจากร้านค้า โรงนมสามารถแปรรูปนมเป็นครีม เนย หรือกระทั่งชีสได้!
TID_TUTORIAL_42_MOBILE,หวัดดี! ผมชื่อไมค์ เปิดโรงสีเก่าๆ อยู่ใกล้ๆ ตัวเมือง ฟาร์มแสนสวยของคุณชื่ออะไรเอ่ย?
TID_TUTORIAL_45_MOBILE,ดีจังที่มีคนมาดูแลที่นี่ แล้วเจอกันนะ!
TID_TUTORIAL_46_MOBILE,กลิ่นหอมๆ นี่มาจากทางนี้รึเปล่านะ? โอ้ ฉันนี่มารยาทแย่จัง! ฉันชื่อโจนค่ะ
TID_TUTORIAL_GUEST1_MOBILE,เรามีแขกมาเยี่ยม! แตะที่ตัวเขาเพื่อดูว่าเขาจะพูดอะไร!
TID_TUTORIAL_47a_MOBILE,เปิดผ้าคลุมออกก่อนด้วยการแตะมัน
TID_TUTORIAL_48a_MOBILE,รอให้รถกระบะส่งของเอารางวัลกลับมาให้คุณ จากนั้นก็แตะรถเพื่อรับรางวัล!
TID_TUTORIAL_47_MOBILE,ดูสิ เด็กๆ จากโรงเรียนอนุบาลส่งจดหมายขอบคุณมาให้ด้วย!
TID_TUTORIAL_48_MOBILE,สวัสดี! ผมชื่อเกร็ก เป็นเพื่อนบ้านคุณ ถ้าคุณต้องการเครื่องไม้เครื่องมือ ให้มาที่ฟาร์มผมได้ เดี๋ยวผมจัดหาให้!
TID_TUTORIAL_49_MOBILE,เราต้องการเครื่องมือมาแผ้วถางที่ดิน ไปฟาร์ม\nเกร็กกันเถอะ!
TID_TUTORIAL_50_MOBILE,ยินดีต้อนรับสู่ฟาร์มของผม! อย่าลืมดูว่าผมมีอะไรขายบ้างในร้านริมทางของผม!
TID_TUTORIAL_51_MOBILE,ขอบคุณที่แวะมา! คุณจะมาเยี่ยมผมหรือเพื่อนๆ ของคุณเมื่อไหร่ก็ได้ที่คุณต้องการ!
TID_TUTORIAL_52_MOBILE,ว้าว เกร็กช่วยได้เยอะเลย คุณสามารถเพิ่มเพื่อนเป็นเพื่อนบ้านได้อีกจากแถบเพื่อน
TID_TUTORIAL_53_MOBILE,นี่คือร้านริมทางของคุณ คุณสามารถวางขายสินค้าของคุณให้ผู้เล่นคนอื่นมาซื้อได้
TID_TUTORIAL_54_MOBILE,คุณสามารถเลือกได้ว่าจะขายผลิตภัณฑ์จำนวนเท่าไหร่ ตั้งราคา และจะโฆษณาขายในหนังสือพิมพ์ท้องถิ่นก็ยังได้! ลองดูสิ!
TID_TUTORIAL_56_MOBILE,หวัดดี! ต้องการความช่วยเหลือในการปลูกพืชใหม่ไหม? ผมช่วยแนะให้ได้นะ!
TID_TUTORIAL_55_MOBILE,คุณสามารถหาหนังสือพิมพ์พบได้ในกล่องไปรษณีย์ ในนั้นคุณจะเห็นว่าคนอื่นๆ มีอะไรขายบ้าง
TID_TUTORIAL_59_MOBILE,บัตรเหล่านี้คือของสะสมที่ได้จากการทำตามคำสั่งซื้อทางเรือและจากที่อื่นๆ! ใบนี้ของคุณ...
TID_TUTORIAL_60_MOBILE,แตะที่บ้านแล้วเติมอาหารอร่อยๆ ใส่ถ้วย!
TID_TUTORIAL_61_MOBILE,คราวนี้ก็รอจนกว่าสัตว์เลี้ยงของคุณจะกลับมานอน
TID_TUTORIAL_66_MOBILE,ต้องการพื้นที่เพิ่มใช่ไหม? ไม่ต้องห่วง! คุณสามารถขยายพื้นที่ได้แล้ว
TID_TUTORIAL_67_MOBILE,ตอนนี้น่าจะเหมาะแก่การซ่อมเหมืองเก่านี่นะ ใครจะไปรู้ว่าในนั้นจะมีสมบัติอะไรซ่อนอยู่
TID_TUTORIAL_68_MOBILE,ยินดีด้วย ท่าเรือซ่อมแล้ว! ตอนนี้คุณสามารถส่งของตามคำสั่งซื้อทางเรือได้แล้ว
TID_TUTORIAL_70_MOBILE,เห็นกล่องไปรษณีย์ใหม่เอี่ยมนี่ไหม? ผมว่าใครสักคนกำลังมาที่นี่ ได้ยินเสียงผิวปากไหม?
TID_TUTORIAL_71_MOBILE,เย้! คุณได้รับจดหมายฉบับแรกของคุณ ไปเปิดโดยการคลิกกล่องไปรษณีย์ได้เลย
TID_TUTORIAL_73_MOBILE,จะได้จดหมายเพิ่มขึ้นได้อย่างไร? ก็แค่ไปช่วยชาวไร่คนอื่นๆ ในไร่ของพวกเขา แล้วพวกเขาก็อาจจะส่งจดหมายมาให้คุณเป็นการขอบคุณ!
TID_TUTORIAL_74_MOBILE,แล้วววววก็ ถ้าโชคดี ในจดหมายนั้นอาจจะมีบัตรของขวัญ อย่าลืมนะ บุรุษไปรษณีย์จะมาส่งจดหมายให้คุณวันละครั้ง
TID_TUTORIAL_GUEST6_MOBILE,แตะร้านริมทางของเกร็กเพื่อดูว่าเขามีอะไรขายบ้าง!
TID_STORAGE_UPGRADE_DESCRIPTION_MOBILE,เพิ่มความจุเป็น <CAPACITY>
TID_EXPANSION_DESCRIPTION_MOBILE,เพิ่มพื้นที่สำหรับสิ่งก่อสร้างของคุณ
TID_TUTORIAL_FISHING_14_MOBILE,ฉันเห็นฝูงลอบสเตอร์สนุกกันใหญ่ในน้ำเย็นๆ เมื่อวันก่อน เราซ่อมบ่อน้ำอุ่นเล็กๆ ให้พวกมันกันดีไหม?
TID_TUTORIAL_64_MOBILE,หวัดดี! อยากให้ช่วยทำพิซซ่าไหม?
TID_TUTORIAL_FISHING_2_MOBILE,ลอยได้อีกครั้งแล้ว! อย่าได้เขินอาย พามันล่องไปตามแม่น้ำเลย
TID_TUTORIAL_FISHING_16_MOBILE,เยี่ยมมม! คราวนี้ก็ผลิตกับดักลอบสเตอร์แล้วก็วางมันลงในจุดหาปลา\nลอบสเตอร์ที่จับได้จะไปปรากฏในบ่อโดยอัตโนมัติ
TID_TUTORIAL_FISHING_12_MOBILE,เยี่ยมมาก ตอนนี้เธอก็ทำตาข่ายได้แล้ว แค่เหวี่ยงตาข่ายไว้ในจุดหาปลา รอ แล้วก็กลับมารับทรัพย์
TID_TUTORIAL_FISHING_13_MOBILE,ใช้ผลิตตาข่ายปริศนาได้ด้วยนะ มีให้ลองฟรีๆ หนึ่งอันตรงนี้ รับรองไม่ผิดหวัง
TID_PLANK_DESCRIPTION_MOBILE,ใช้เพื่ออัปเกรดโรงนา
TID_NAIL_DESCRIPTION_MOBILE,ใช้เพื่ออัปเกรดยุ้งฉาง
TID_BOLT_DESCRIPTION_MOBILE,ใช้เพื่ออัปเกรดโรงนา
TID_SCREW_DESCRIPTION_MOBILE,ใช้เพื่ออัปเกรดยุ้งฉาง
TID_DUCT_TAPE_DESCRIPTION_MOBILE,ใช้เพื่ออัปเกรดโรงนา
TID_WOOD_PANEL_DESCRIPTION_MOBILE,ใช้เพื่ออัปเกรดยุ้งฉาง
TID_DEMOLITION_CHARGE_DESCRIPTION_MOBILE,ใช้เพื่อทำลายหินก้อนใหญ่
TID_AXE_DESCRIPTION_MOBILE,ใช้เพื่อโค่นต้นไม้ต้นเล็ก
TID_BARBECUE_PRODUCT_DESCRIPTION_MOBILE,ผลิตในเตาบาร์บีคิว
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION_MOBILE,ผลิตในเครื่องทำไอศกรีม
TID_RASPBERRY_DESCRIPTION_MOBILE,เก็บจากพุ่มราสเบอร์รี
TID_CASH_DESCRIPTION_MOBILE,ซื้อผลิตภัณฑ์และการปรับปรุงฟาร์มของคุณ
TID_DIAMONDS_DESCRIPTION_MOBILE,เพิ่มพลังการผลิตและซื้อผลิตภัณฑ์ที่ขาดหายไป
TID_ORDER_SCREEN_SELECT_ORDER_MOBILE,เลือกคำสั่งซื้อจากทางด้านซ้าย
TID_PEOPLE_ORDER_GREETING10_MOBILE,หวัดดีค่ะ! หนูมาซื้อของให้ยาย
TID_ABOUT_TEXT_MOBILE,Hay Day (tm) เวอร์ชัน <VERSION>\n\nลิขสิทธิ์ 2012-2025 Supercell Oy. สงวนลิขสิทธิ์\n\nการใช้ซอฟต์แวร์นี้ทั้งหมดจะขึ้นกับ\nเงื่อนไขการให้บริการที่ http://www.supercell.net/terms-of-service และนโยบายความเป็นส่วนตัวที่ http://www.supercell.net/privacy-policy\n\nจัดทำโดย\n<CREDITS>\n\n
TID_ACHIEVEMENT_PRETTY_FARMER_DESCRIPTION_MOBILE,ลงทุน <NUMBER> เหรียญเพื่อตกแต่งฟาร์มของคุณ
TID_ACHIEVEMENT_LOCAL_SELLER_DESCRIPTION_MOBILE,หาเงินได้ <NUMBER> เหรียญจากการขายของในร้านริมทางของคุณ
TID_ACHIEVEMENT_TURBO_HARVEST_DESCRIPTION_MOBILE,เก็บเกี่ยว <NUMBER> แปลงในเวลา <MINUTES> นาที
TID_ACHIEVEMENT_TURBO_CAR_ORDERS_DESCRIPTION_MOBILE,ส่งของด้วยรถกระบะตามคำสั่งซื้อ <NUMBER> ครั้งในเวลา <MINUTES> นาที
TID_NEED_MORE_FRIENDS_MOBILE,ต้องการเพื่อน Supercell ID <NUMBER> คนเพื่อปลดล็อค!
TID_BOY_FIRST_POPUP_TEXT_MOBILE,หวัดดี ผมชื่อทอม ผมวิ่งทำธุระให้คุณได้นะ ผมจะรออยู่ใกล้ๆ ร้านริมทางของคุณ!
TID_ACHIEVEMENT_GREEN_THUMB_DESCRIPTION_MOBILE,ฟื้นชีวิตให้ต้นผลไม้หรือพุ่มเบอร์รี <NUMBER> ต้น
TID_CAT_DESCRIPTION_MOBILE,ให้อาหารเพื่อสะสมแต้ม
TID_DOG_DESCRIPTION_MOBILE,ให้อาหารเพื่อสะสมแต้ม
TID_TUTORIAL_58_MOBILE,คุณสามารถซื้อสัตว์เลี้ยงและไอเทมเก๋ๆ อย่างอื่นในร้านค้าโดยใช้บัตรกำนัลได้แล้ว!
TID_VOUCHER1_DESCRIPTION_MOBILE,ใช้เพื่อแลกไอเทมพิเศษในร้านค้า
TID_VOUCHER2_DESCRIPTION_MOBILE,ใช้เพื่อแลกไอเทมพิเศษในร้านค้า
TID_VOUCHER3_DESCRIPTION_MOBILE,ใช้เพื่อแลกไอเทมพิเศษในร้านค้า
TID_VOUCHER4_DESCRIPTION_MOBILE,ใช้เพื่อแลกไอเทมพิเศษในร้านค้า
TID_COFFEE_DESCRIPTION_MOBILE,เก็บจากพุ่มกาแฟ
TID_COFFEE_BUSH_DESCRIPTION_MOBILE,เก็บได้สามครั้ง
TID_CAFE_DESCRIPTION_MOBILE,ผลิตเครื่องดื่มร้อน
TID_HOLIDAYTREE_DESCRIPTION_MOBILE,เฉลิมฉลองวันเทศกาล
TID_GIFTS_DESCRIPTION_MOBILE,เฉลิมฉลองวันเทศกาล
TID_TOYSOLDIER_DESCRIPTION_MOBILE,เฉลิมฉลองวันเทศกาล
TID_CANDYPOLE_DESCRIPTION_MOBILE,เฉลิมฉลองวันเทศกาล
TID_HOLIDAYFLOWER_DESCRIPTION_MOBILE,เฉลิมฉลองวันเทศกาล
TID_SNOWMAN_DESCRIPTION_MOBILE,เฉลิมฉลองวันเทศกาล
TID_FROZENPOND_1_DESCRIPTION_MOBILE,เฉลิมฉลองวันเทศกาล
TID_FROZENPOND_2_DESCRIPTION_MOBILE,เฉลิมฉลองวันเทศกาล
TID_HORSE_DESCRIPTION_MOBILE,ให้อาหารเพื่อสะสมแต้ม
TID_BIRD_BATH_DESCRIPTION_MOBILE,ดึงดูดนก
TID_NEWSPAPER_FB_PROMO_TEXT_MOBILE,สำหรับข่าวล่าสุดของ Hay Day!
TID_FISHING_SPOT_UNLOCK_DESCRIPTION_MOBILE,ปลาใหม่ๆ น่าตื่นเต้นรอคุณอยู่ที่จุดนี้
TID_TUTORIAL_FISHING_5_MOBILE,นี่เป็นจุดหาปลาที่เหมาะสำหรับมือใหม่ ลองตกให้ได้สักตัว ใจเย็นๆ แล้วรอให้ปลางับเหยื่อ
TID_TUTORIAL_FISHING_8_MOBILE,เธอสามารถใช้โต๊ะทำงานนี้ทำเหยื่อเพิ่มได้ เหยื่อหนอนใช้แค่เวลาในการทำ แต่ปลาส่วนใหญ่ไม่ค่อยจะชอบมันหรอก
TID_TUTORIAL_FISHING_9_MOBILE,ใช้บัตรกำนัลเพื่อทำเหยื่อที่ใช้จับปลาชนิดต่างๆ หลากหลายได้ พอทำเสร็จ เหยื่อทั้งหมดจะถูกเก็บไว้ในกล่องเครื่องมือหาปลา โชคดีนะ! ถ้าต้องการให้สอนอีกก็แตะฉันได้เลย
TID_REPAIR_MINE_TEXT_MOBILE,"ในเหมืองคุณสามารถขุดค้นผลิตภัณฑ์ต่างๆ ได้โดยใช้ระเบิดไดนาไมต์, ถังระเบิด TNT และพลั่ว และจะพบแร่โลหะมีค่า หรือแม้แต่เพชร!"
